Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2016,Simpson,0-0,0,0,0,13,0.0,5,0.385,0-0,0,0-0,1210
9/3/2016,Augsburg,4-0,4,5,13,18,0.222,12,0.667,0-0,1,0-0,935
9/7/2016,Central,2-0,2,1,5,17,0.118,8,0.471,0-0,1,0-0,991
9/9/2016,Grand View Univ.,2-0,2,1,5,15,0.133,10,0.667,0-0,1,0-0,920
9/11/2016,Buena Vista,0-2,0,0,0,9,0.0,5,0.556,0-0,0,0-0,944
9/13/2016,Coe,2-1,2,0,4,18,0.111,11,0.611,0-0,1,0-0,1142
9/17/2016,Nebraska Wesleyan,0-2,0,0,0,11,0.0,7,0.636,1-0,0,0-0,989
9/24/2016,Beloit College,1-3,1,1,3,11,0.091,5,0.455,1-0,0,0-0,0
9/25/2016,Lake Forest,0-0,0,0,0,21,0.0,5,0.238,1-0,0,0-0,1211
9/29/2016,Cornell College,0-6,0,0,0,9,0.0,5,0.556,0-0,0,0-0,954
10/1/2016,Illinois College,2-1,2,1,5,7,0.286,6,0.857,1-0,1,0-0,990
10/8/2016,Knox,1-0,1,0,2,4,0.25,1,0.25,0-0,1,0-0,989
10/15/2016,St. Norbert College,1-2,1,1,3,16,0.063,10,0.625,1-0,0,0-0,991
10/16/2016,Lawrence University,0-1,0,0,0,6,0.0,4,0.667,0-0,0,0-0,990
10/20/2016,Concordia-Chicago,0-2,0,0,0,4,0.0,1,0.25,0-0,0,0-0,991
10/22/2016,Ripon College,2-3,2,2,6,4,0.5,4,1.0,0-0,0,0-0,989
10/29/2016,Monmouth College,1-2,1,2,4,9,0.111,6,0.667,0-0,0,0-0,1000
11/4/2016,Lake Forest,2-2,2,0,4,10,0.2,6,0.6,1-0,0,0-0,1254
11/5/2016,Knox,1-0,1,1,3,10,0.1,6,0.6,1-0,1,0-0,991
Total,,21-27,21,15,57,212,0.099,117,0.552,7-0,7,0-0,18481
Grinnell College,,-,27,8,62,254,0.106,123,0.484,7-0,9,-,18498
