0,1,2
POINTS,2,Knox (10/8/2016)
GOALS,1,Beloit College (9/24/2016) Knox (10/8/2016) St. Norbert College (10/15/2016) Monmouth College (10/29/2016) Knox (11/5/2016)
ASSISTS,1,Central (9/7/2016) Grand View Univ. (9/9/2016) Beloit College (9/24/2016) Illinois College (10/1/2016) St. Norbert College (10/15/2016) Knox (11/5/2016)
SHOTS,4,Knox (10/8/2016) Lawrence University (10/16/2016) Concordia-Chicago (10/20/2016) Ripon College (10/22/2016)
SHOTS ON GOAL,1,Knox (10/8/2016) Lawrence University (10/16/2016) Concordia-Chicago (10/20/2016) Ripon College (10/22/2016)
SAVES,2,Augsburg (9/3/2016) Grand View Univ. (9/9/2016) Nebraska Wesleyan (9/17/2016) Knox (10/8/2016) St. Norbert College (10/15/2016) Monmouth College (10/29/2016) Knox (11/5/2016)
FOULS,2,Simpson (9/1/2016) Augsburg (9/3/2016)
CORNER KICKS,1,Simpson (9/1/2016) Grand View Univ. (9/9/2016) Buena Vista (9/11/2016) Nebraska Wesleyan (9/17/2016) Cornell College (9/29/2016) Knox (10/8/2016) Lawrence University (10/16/2016) Ripon College (10/22/2016)
