#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
4.0,"Silverman, Carolyn 4Silverman, Carolyn",9,9,537,5,1,11,29,0.172,14,0.483,1-0,2,0-0,View Bio
5.0,"Truesdale, Hannah 5Truesdale, Hannah",9,9,355,3,0,6,16,0.188,5,0.313,0-0,1,1-1,View Bio
7.0,"Alvarez, Valencia 7Alvarez, Valencia",9,4,393,2,0,4,12,0.167,5,0.417,0-0,0,0-0,View Bio
2.0,"Bambi, Simona 2Bambi, Simona",8,5,429,1,1,3,7,0.143,3,0.429,1-0,1,0-0,
20.0,"Richards, Kitt 20Richards, Kitt",6,0,164,1,1,3,6,0.167,3,0.5,0-0,0,0-0,View Bio
10.0,"Zarkin-Scott, Shaina 10Zarkin-Scott, Shaina",9,7,414,1,1,3,6,0.167,3,0.5,0-0,1,0-0,View Bio
11.0,"Helverson, Annika 11Helverson, Annika",9,9,738,0,2,2,4,0.0,1,0.25,0-0,0,0-0,View Bio
15.0,"Holtzman, Gwen 15Holtzman, Gwen",8,0,176,1,0,2,1,1.0,1,1.0,0-0,0,0-0,View Bio
16.0,"Maddaus, Jordan 16Maddaus, Jordan",9,0,267,1,0,2,7,0.143,2,0.286,0-0,0,0-0,View Bio
12.0,"Salpekar, Elyse 12Salpekar, Elyse",9,2,182,1,0,2,4,0.25,3,0.75,0-0,0,0-0,View Bio
6.0,"Torres, Juliet 6Torres, Juliet",3,0,25,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
14.0,"Varias, Francesca 14Varias, Francesca",9,2,255,1,0,2,3,0.333,2,0.667,0-0,1,0-0,View Bio
9.0,"Sahel, Nora 9Sahel, Nora",9,9,623,0,1,1,12,0.0,5,0.417,0-0,0,0-0,View Bio
8.0,"Baumann, Sasha 8Baumann, Sasha",8,8,514,0,0,0,2,0.0,2,1.0,0-0,0,0-0,View Bio
21.0,"Bunnell, Eliza 21Bunnell, Eliza",3,0,66,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Cardozo, Lila 26Cardozo, Lila",1,0,25,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24.0,"Edwards, Lauren 24Edwards, Lauren",9,6,663,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
13.0,"Hellweg, Abigail 13Hellweg, Abigail",6,4,223,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
19.0,"Hornewer, Sangjun 19Hornewer, Sangjun",7,0,189,0,0,0,10,0.0,5,0.5,0-0,0,0-0,View Bio
3.0,"Hurley, Lauren 3Hurley, Lauren",9,7,432,0,0,0,12,0.0,7,0.583,1-0,0,0-0,View Bio
18.0,"Kasprak, Regan 18Kasprak, Regan",9,8,695,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27.0,"Remash, Halle 27Remash, Halle",2,0,19,0,0,0,2,0.0,2,1.0,0-0,0,0-0,View Bio
25.0,"Remash, Marli 25Remash, Marli",2,0,19,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Thurman, Michellie 23Thurman, Michellie",3,0,20,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
17.0,"Weiss, LilyRose 17Weiss, LilyRose",9,9,679,0,0,0,4,0.0,2,0.5,0-0,0,0-0,View Bio
,Total,9,-,8102,18,7,43,143,0.126,67,0.469,7-0,6,1-1,
,Opponent,9,-,8114,8,7,23,87,0.092,46,0.529,7-0,2,0-0,
