Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2016,at Simpson,0-0,0/0,0/0,18/13,7/5,2/2,0/0,0/0
9/3/2016,vs Augsburg,0-4,0/4,0/5,2/18,2/12,2/9,0/0,0/0
9/7/2016,at Central,0-2,0/2,0/1,8/17,6/8,3/3,0/0,0/0
9/9/2016,at Grand View Univ.,0-2,0/2,0/1,7/15,3/10,2/2,0/0,0/0
9/11/2016,at Buena Vista,2-0,2/0,1/0,14/9,6/5,4/2,0/0,0/0
9/13/2016,vs Coe,1-2,1/2,0/0,14/18,9/11,4/3,0/0,0/0
9/17/2016,vs Nebraska Wesleyan,2-0,2/0,0/0,14/11,5/7,6/1,2/1,0/0
9/24/2016,at Beloit College,3-1,3/1,1/1,13/11,7/5,3/4,0/1,0/0
9/25/2016,at Lake Forest,0-0,0/0,0/0,14/21,4/5,6/8,0/1,0/0
9/29/2016,at Cornell College,6-0,6/0,2/0,22/9,13/5,3/1,0/0,0/0
10/1/2016,vs Illinois College,1-2,1/2,1/1,18/7,10/6,5/3,0/1,0/0
10/8/2016,vs Knox,0-1,0/1,0/0,11/4,3/1,3/2,1/0,0/0
10/15/2016,vs St. Norbert College,2-1,2/1,0/1,8/16,5/10,0/5,2/1,0/0
10/16/2016,vs Lawrence University,1-0,1/0,0/0,27/6,14/4,5/1,0/0,0/0
10/20/2016,at Concordia-Chicago,2-0,2/0,0/0,15/4,8/1,5/3,0/0,0/0
10/22/2016,at Ripon College,3-2,3/2,2/2,19/4,7/4,3/2,0/0,0/0
10/29/2016,at Monmouth College,2-1,2/1,1/2,11/9,4/6,7/5,0/0,0/0
11/4/2016,at Lake Forest,2-2,2/2,0/0,12/10,8/6,6/5,0/1,0/0
11/5/2016,at Knox,0-1,0/1,0/1,7/10,2/6,2/5,2/1,0/0
Totals,,,27/21,8/15,254/212,123/117,71/66,7/7,0/0
