Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2016,Simpson,0-0,110:00,0,0.0,5,1.0,0,0,1,1,13
9/3/2016,Augsburg,0-4,90:00,4,1.8,8,0.667,0,1,0,0,18
9/7/2016,Central,0-2,90:00,2,1.86,6,0.75,0,1,0,0,18
9/9/2016,Grand View Univ.,0-2,90:00,2,1.89,8,0.8,0,1,0,0,15
9/11/2016,Buena Vista,2-0,90:00,0,1.53,5,1.0,1,0,0,1,9
9/13/2016,Coe,1-2,105:22,2,1.56,9,0.818,0,1,0,0,18
9/17/2016,Nebraska Wesleyan,2-0,90:00,0,1.35,7,1.0,1,0,0,1,11
9/24/2016,Beloit College,3-1,90:00,1,1.31,4,0.8,1,0,0,0,0
9/25/2016,Lake Forest,0-0,110:00,0,1.14,5,1.0,0,0,1,1,21
9/29/2016,Cornell College,6-0,90:00,0,1.04,5,1.0,1,0,0,1,9
10/1/2016,Illinois College,1-2,90:00,2,1.12,4,0.667,0,1,0,0,7
10/8/2016,Knox,0-1,90:00,1,1.11,0,0.0,0,1,0,0,4
10/15/2016,St. Norbert College,2-1,90:00,1,1.1,9,0.9,1,0,0,0,17
10/16/2016,Lawrence University,1-0,90:00,0,1.03,4,1.0,1,0,0,1,7
10/20/2016,Concordia-Chicago,2-0,90:00,0,0.96,1,1.0,1,0,0,1,4
10/22/2016,Ripon College,3-2,90:00,2,1.02,2,0.5,1,0,0,0,4
10/29/2016,Monmouth College,2-1,90:00,1,1.02,5,0.833,1,0,0,0,9
11/4/2016,Lake Forest,2-2,110:00,2,1.06,4,0.667,0,0,1,0,10
11/5/2016,Knox,0-1,90:00,1,1.06,5,0.833,0,1,0,0,10
Totals,,-,1785,21,1.06,96,0.821,9,7,3,7,204
Opponent,,-,1785:22,27,1.36,96,0.78,7,9,3,7,233
