#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
18.0,"Kasprak, Regan 18Kasprak, Regan",9,8,830:00,8,0.87,38,0.826,6.0,2.0,1.0,3,78,View Bio
,Total,9,-,830:00,8,0.87,38,0.826,6.0,2.0,1.0,3,78,
,Opponents,9,-,830:00,18,1.95,48,0.727,,,,2,126,
