Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2016,Simpson,0-0,110:00,0,0.0,7,1.0,0,0,1,1,18
9/3/2016,Augsburg,4-0,90:00,0,0.0,2,1.0,1,0,0,1,2
9/7/2016,Central,2-0,90:00,0,0.0,6,1.0,1,0,0,1,8
9/9/2016,Grand View Univ.,2-0,90:00,0,0.0,3,1.0,1,0,0,1,7
9/11/2016,Buena Vista,0-2,90:00,2,0.38,4,0.667,0,1,0,0,14
9/13/2016,Coe,2-1,105:22,1,0.47,8,0.889,1,0,0,0,14
9/17/2016,Nebraska Wesleyan,0-2,90:00,2,0.68,3,0.6,0,1,0,0,13
9/24/2016,Beloit College,1-3,90:00,3,0.95,4,0.571,0,1,0,0,0
9/25/2016,Lake Forest,0-0,110:00,0,0.83,4,1.0,0,0,1,1,14
9/29/2016,Cornell College,0-6,90:00,6,1.32,7,0.538,0,1,0,0,21
10/1/2016,Illinois College,2-1,90:00,1,1.29,9,0.9,1,0,0,0,18
10/8/2016,Knox,1-0,90:00,0,1.19,3,1.0,1,0,0,1,11
10/15/2016,St. Norbert College,1-2,90:00,2,1.25,3,0.6,0,1,0,0,5
10/16/2016,Lawrence University,0-1,90:00,1,1.23,13,0.929,0,1,0,0,27
10/20/2016,Concordia-Chicago,0-2,90:00,2,1.28,6,0.75,0,1,0,0,14
10/22/2016,Ripon College,2-3,90:00,3,1.38,4,0.571,0,1,0,0,19
10/29/2016,Monmouth College,1-2,90:00,2,1.42,2,0.5,0,1,0,0,11
11/4/2016,Lake Forest,2-2,110:00,2,1.43,6,0.75,0,0,1,0,10
11/5/2016,Knox,1-0,90:00,0,1.36,2,1.0,1,0,0,1,7
Totals,,-,1785,27,1.36,96,0.78,7,9,3,7,233
Grinnell College,,-,1785:22,21,1.06,96,0.821,9,7,3,7,204
