#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
1.0,"Carr, Polly 1Carr, Polly",2,2,172:21,3,1.57,11,0.786,0.0,1.0,1.0,1,28,View Bio
18.0,"Kasprak, Regan 18Kasprak, Regan",18,16,1613:01,18,1.0,85,0.825,9.0,6.0,2.0,6,176,View Bio
,Total,19,-,1785:22,21,1.06,96,0.821,9.0,7.0,3.0,7,204,
,Opponents,19,-,1785:22,27,1.36,95,0.779,,,,7,233,
