Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,27,21
Goals Per Game G/AVG,1.42,1.11
Shots SH,254,212
Shots Per Game SH/AVG,13.4,11.2
Shots Percentage SH%,0.108,0.099
Shots On Goal SOG,123-254,117-212
Shots On Goal Percentage SOG%,0.484,0.552
Penalties,Penalties,Penalties
Yellow Cards YC,7,7
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,8,15
Saves S,96,96
Fouls F,139,150
Corner Kicks CK,71,66
Penalty Kicks: Goals-Attempts PG-PA,5-5,0-0
