#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
4.0,"Silverman, Carolyn 4Silverman, Carolyn",17,17,1007,9,1,19,57,0.158,31,0.544,2-0,4,1-1,View Bio
5.0,"Truesdale, Hannah 5Truesdale, Hannah",19,12,741,5,0,10,26,0.192,11,0.423,0-0,1,3-3,View Bio
2.0,"Bambi, Simona 2Bambi, Simona",18,12,1084,2,1,5,17,0.118,7,0.412,2-0,1,0-0,
7.0,"Alvarez, Valencia 7Alvarez, Valencia",19,14,979,2,0,4,24,0.083,6,0.25,0-0,0,0-0,View Bio
9.0,"Sahel, Nora 9Sahel, Nora",19,19,1380,1,2,4,22,0.045,9,0.409,2-0,1,1-1,View Bio
20.0,"Richards, Kitt 20Richards, Kitt",12,0,380,1,1,3,8,0.125,5,0.625,0-0,0,0-0,View Bio
10.0,"Zarkin-Scott, Shaina 10Zarkin-Scott, Shaina",15,12,730,1,1,3,10,0.1,4,0.4,0-0,1,0-0,View Bio
11.0,"Helverson, Annika 11Helverson, Annika",19,19,1661,0,2,2,5,0.0,2,0.4,0-0,0,0-0,View Bio
15.0,"Holtzman, Gwen 15Holtzman, Gwen",15,0,338,1,0,2,1,1.0,1,1.0,0-0,0,0-0,View Bio
16.0,"Maddaus, Jordan 16Maddaus, Jordan",18,0,542,1,0,2,10,0.1,5,0.5,0-0,0,0-0,View Bio
12.0,"Salpekar, Elyse 12Salpekar, Elyse",19,2,440,1,0,2,6,0.167,5,0.833,0-0,0,0-0,View Bio
6.0,"Torres, Juliet 6Torres, Juliet",6,0,49,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
14.0,"Varias, Francesca 14Varias, Francesca",19,9,937,1,0,2,8,0.125,3,0.375,0-0,1,0-0,View Bio
17.0,"Weiss, LilyRose 17Weiss, LilyRose",19,19,1548,1,0,2,6,0.167,4,0.667,0-0,0,0-0,View Bio
8.0,"Baumann, Sasha 8Baumann, Sasha",18,18,1397,0,0,0,10,0.0,6,0.6,0-0,0,0-0,View Bio
21.0,"Bunnell, Eliza 21Bunnell, Eliza",5,0,84,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Cardozo, Lila 26Cardozo, Lila",2,0,29,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
1.0,"Carr, Polly 1Carr, Polly",2,2,172,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24.0,"Edwards, Lauren 24Edwards, Lauren",18,14,1386,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
13.0,"Hellweg, Abigail 13Hellweg, Abigail",10,5,400,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
19.0,"Hornewer, Sangjun 19Hornewer, Sangjun",14,1,384,0,0,0,13,0.0,8,0.615,0-0,0,0-0,View Bio
3.0,"Hurley, Lauren 3Hurley, Lauren",19,17,1149,0,0,0,23,0.0,12,0.522,1-0,0,0-0,View Bio
18.0,"Kasprak, Regan 18Kasprak, Regan",19,16,1581,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27.0,"Remash, Halle 27Remash, Halle",3,0,22,0,0,0,2,0.0,2,1.0,0-0,0,0-0,View Bio
25.0,"Remash, Marli 25Remash, Marli",3,0,23,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Thurman, Michellie 23Thurman, Michellie",6,0,55,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,19,-,18498,27,8,62,254,0.106,123,0.484,7-0,9,5-5,
,Opponent,19,-,18481,21,15,57,212,0.099,117,0.552,7-0,6,0-0,
