Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2016,at Simpson,T,0-0,(0-0-1),,102,
9/3/2016,vs Augsburg,L,0-4,(0-1-1),,207,
9/7/2016,at Central,L,0-2,(0-2-1),,100,
9/9/2016,at Grand View Univ.,L,0-2,(0-3-1),,115,
9/11/2016,at Buena Vista,W,2-0,(1-3-1),,200,Carolyn Silverman (1) Carolyn Silverman (0) (Nora Sahel)
9/13/2016,vs Coe,L,1-2,(1-4-1),,207,Lilyrose Weiss (0)
9/17/2016,vs Nebraska Wesleyan,W,2-0,(2-4-1),,307,"Sahel, Nora (0) Bambi, Simona (0)"
9/24/2016,at Beloit College,W,3-1,"(3-4-1, 1-0-0 MWC)",1-0-0 MWC,225,Carolyn Silverman (0) Carolyn Silverman (0) (Annika Helverson)  Valencia Alvarez (0)
9/25/2016,at Lake Forest,T,0-0,"(3-4-2, 1-0-1 MWC)",1-0-1 MWC,79,
9/29/2016,at Cornell College,W,6-0,"(4-4-2, 1-0-1 MWC)",1-0-1 MWC,100,Shaina Zarkin-Scott (0) Kitt Richards (0) Jordan Maddaus (0) (Kitt Richards)  Hannah Truesdale (0) Gwen Holtzman (0) (Annika Helverson)  Juliet Torres (0)
10/1/2016,vs Illinois College,L,1-2,"(4-5-2, 2-1-1 MWC)",2-1-1 MWC,142,Hannah Truesdale (0) (Simona Bambi)
10/8/2016,vs Knox,L,0-1,"(4-6-2, 2-2-1 MWC)",2-2-1 MWC,208,
10/15/2016,vs St. Norbert College,W,2-1,"(5-6-2, 3-2-1 MWC)",3-2-1 MWC,306,Carolyn Silverman (0) Simona Bambi (0)
10/16/2016,vs Lawrence University,W,1-0,"(6-6-2, 4-2-1 MWC)",4-2-1 MWC,302,Hannah Truesdale (0)
10/20/2016,at Concordia-Chicago,W,2-0,(7-6-2),,60,Carolyn Silverman (6) Hannah Truesdale (4)
10/22/2016,at Ripon College,W,3-2,"(8-6-2, 5-2-1 MWC)",5-2-1 MWC,227,Valencia Alvarez (2) (Carolyn Silverman)  Carolyn Silverman (7) Carolyn Silverman (8) (Shaina Zarkin-Scott)
10/29/2016,at Monmouth College,W,2-1,"(9-6-2, 6-2-1 MWC)",6-2-1 MWC,100,Elyse Salpekar (0) Francesca Varias (0) (Nora Sahel)
11/4/2016,at Lake Forest,T,2-2,(9-6-3),,175,Hannah Truesdale (0) Carolyn Silverman (0)
11/5/2016,at Knox,L,0-1,(9-7-3),,200,
