0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Iowa Central Dual,"Sep 30, 2023",1,92,+21,8th/10
SLIAC Women's Championship,"Oct 8-10, 2023",3,76-75-79=230,+14,4th/54
Wartburg Spring Invite,"April 6-7, 2024",2,86-99=185,+45,42nd/64
SEASON TOTALS,SEASON TOTALS,6,507 Avg. 84.5,+13,-
