0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Fall Invite,"Sep 9-10, 2023",2,76-76=152,+8,t-15th/98
IWU Fall Classic,"Sept. 16-17, 2023",2,80-81=161,+17,t-56th/112
Iowa Central Dual,"Sep 30, 2023",1,75,+4,1st/10
SLIAC Women's Championship,"Oct 8-10, 2023",3,79-76-79=234,+18,8th/54
2023 Golfweek October Classic,"Oct 15-17, 2023",3,73-83-75=231,+15,t-38th/120
Wartburg Spring Invite,"April 6-7, 2024",2,86-82=168,+28,t-12th/64
Kathy Niepagen Spring Fling,"April 13-14, 2024",2,77-80=157,+13,t-26th/114
NCAA DIII Women's Golf Championship,"May 21-24, 2024",4,77-88-79-84=328,+40,t-72nd/150
SEASON TOTALS,SEASON TOTALS,19,1506 Avg. 79.3,+8,-
