#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",32,9,7.0,161.0,5.03,147,4.59,69,421,0.185,1,0.03,8,0.25,15,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",3,3,0.0,0.0,0.0,0,0.0,1,1,-1.0,0,0.0,0,0.0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",29,8,0.0,5.0,0.17,0,0.0,0,1,0.0,2,0.07,5,0.17,12,View Bio
4.0,"Welch, Julia 4Welch, Julia",32,9,7.0,3.0,0.09,1,0.03,0,4,0.25,10,0.31,2,0.06,5,View Bio
5.0,"Smith, Madison 5Smith, Madison",32,9,0.0,20.0,0.63,3,0.09,3,12,0.0,19,0.59,17,0.53,6,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",3,2,0.0,0.0,0.0,0,0.0,1,1,-1.0,0,0.0,0,0.0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",13,5,4.0,21.5,1.65,18,1.38,8,61,0.164,0,0.0,0,0.0,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",32,9,7.0,24.5,0.77,9,0.28,4,48,0.104,347,10.84,9,0.28,7,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",19,6,3.0,30.0,1.58,22,1.16,5,63,0.27,3,0.16,0,0.0,0,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",4,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,4,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",32,9,0.0,87.5,2.73,78,2.44,25,256,0.207,1,0.03,0,0.0,0,View Bio
19.0,"Hill, Nora 19Hill, Nora",4,4,0.0,2.0,0.5,2,0.5,1,11,0.091,1,0.25,0,0.0,1,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",32,9,7.0,91.0,2.84,74,2.31,37,230,0.161,11,0.34,15,0.47,21,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",2,2,0.0,1.0,0.5,1,0.5,0,1,1.0,0,0.0,0,0.0,1,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",32,9,7.0,89.0,2.78,73,2.28,28,202,0.223,1,0.03,1,0.03,0,View Bio
,Total,32,9,,535.5,16.73,428,13.38,182,1312,0.188,396,12.38,57,1.78,72,
,Opponents,32,9,,454.0,14.19,362,11.31,183,1253,0.143,347,10.84,38,1.19,40,
