#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",32,120,3.75,8,0,0.0,0.25,2,8,10.0,0.31,1,4,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",3,2,0.67,1,0,0.0,0.33,0,0,0.0,0.0,0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",29,20,0.69,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
4.0,"Welch, Julia 4Welch, Julia",32,62,1.94,2,0,0.0,0.06,0,0,0.0,0.0,0,3,View Bio
5.0,"Smith, Madison 5Smith, Madison",32,153,4.78,9,0,0.0,0.28,0,0,0.0,0.0,0,2,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",3,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",13,7,0.54,0,0,0.0,0.0,1,5,6.0,0.46,1,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",32,89,2.78,0,0,0.0,0.0,1,11,12.0,0.38,0,4,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",19,6,0.32,0,0,0.0,0.0,1,14,15.0,0.79,0,3,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",4,2,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",32,13,0.41,0,0,0.0,0.0,3,13,16.0,0.5,1,0,View Bio
19.0,"Hill, Nora 19Hill, Nora",4,1,0.25,1,0,0.0,0.25,0,0,0.0,0.0,0,0,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",32,118,3.69,11,0,0.0,0.34,0,4,4.0,0.13,0,3,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",2,1,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",32,10,0.31,0,0,0.0,0.0,7,16,23.0,0.72,3,0,View Bio
,Total,32,604,18.88,38,0,0.0,1.19,15,71,50.5,1.58,6,19,
,Opponents,32,612,19.13,57,0,0.0,1.78,15,78,54.0,1.69,6,26,
