#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",104,29,14.0,524.5,5.04,449,4.32,171,1211,0.23,11,0.11,56,0.54,50,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",17,11,0.0,0.5,0.03,0,0.0,1,4,-0.25,0,0.0,0,0.0,3,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",117,32,4.0,32.0,0.27,0,0.0,2,7,-0.286,8,0.07,32,0.27,47,View Bio
4.0,"Welch, Julia 4Welch, Julia",119,33,17.0,25.0,0.21,4,0.03,1,25,0.12,53,0.45,21,0.18,14,View Bio
5.0,"Smith, Madison 5Smith, Madison",112,32,0.0,42.0,0.38,6,0.05,7,37,-0.027,56,0.5,36,0.32,33,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",6,5,0.0,0.0,0.0,0,0.0,2,2,-1.0,3,0.5,0,0.0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",19,7,5.0,30.5,1.61,25,1.32,13,87,0.138,1,0.05,0,0.0,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",119,33,20.0,76.0,0.64,32,0.27,15,198,0.086,1168,9.82,30,0.25,31,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",106,30,16.0,161.0,1.52,125,1.18,57,393,0.173,9,0.08,0,0.0,0,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",25,11,0.0,7.0,0.28,1,0.04,2,7,-0.143,0,0.0,6,0.24,13,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",120,33,5.0,278.5,2.32,246,2.05,125,861,0.141,4,0.03,0,0.0,1,View Bio
19.0,"Hill, Nora 19Hill, Nora",30,16,1.0,22.0,0.73,20,0.67,7,90,0.144,1,0.03,0,0.0,1,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",120,33,20.0,335.5,2.8,271,2.26,157,898,0.127,32,0.27,54,0.45,62,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",9,7,0.0,7.0,0.78,6,0.67,4,19,0.105,0,0.0,0,0.0,1,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",113,31,18.0,310.0,2.74,252,2.23,88,676,0.243,3,0.03,2,0.02,6,View Bio
,Total,120,33,,1851.5,15.43,1437,11.98,652,4515,0.174,1349,11.24,237,1.98,262,
,Opponents,120,33,,1723.5,14.36,1337,11.14,686,4454,0.146,1261,10.51,194,1.62,190,
