#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",104,346,3.33,44,0,0.0,0.42,4,31,35.0,0.34,3,9,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",17,17,1.0,3,0,0.0,0.18,0,1,1.0,0.06,0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",117,116,0.99,12,0,0.0,0.1,0,0,0.0,0.0,0,0,View Bio
4.0,"Welch, Julia 4Welch, Julia",119,284,2.39,11,0,0.0,0.09,0,0,0.0,0.0,0,7,View Bio
5.0,"Smith, Madison 5Smith, Madison",112,532,4.75,50,0,0.0,0.45,0,0,0.0,0.0,0,6,View Bio
6.0,"Ambrosoli, Isabel 6Ambrosoli, Isabel",6,2,0.33,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
7.0,"Killin, Anna 7Killin, Anna",19,7,0.37,0,0,0.0,0.0,1,9,10.0,0.53,1,1,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",119,250,2.1,2,0,0.0,0.02,2,24,26.0,0.22,0,10,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",106,36,0.34,2,0,0.0,0.02,10,52,62.0,0.58,5,4,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",25,7,0.28,1,0,0.0,0.04,0,0,0.0,0.0,0,0,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",120,56,0.47,4,0,0.0,0.03,8,49,57.0,0.48,7,2,View Bio
19.0,"Hill, Nora 19Hill, Nora",30,4,0.13,2,0,0.0,0.07,0,4,4.0,0.13,0,0,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",120,441,3.68,45,0,0.0,0.38,2,17,19.0,0.16,1,7,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",9,3,0.33,0,0,0.0,0.0,0,2,2.0,0.22,0,0,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",113,47,0.42,1,0,0.0,0.01,28,56,84.0,0.74,7,2,View Bio
,Total,120,2148,17.9,190,0,0.0,1.58,55,245,177.5,1.48,24,48,
,Opponents,120,2129,17.74,234,0,0.0,1.95,51,283,192.5,1.6,35,77,
