Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 3, 2005 (Saturday)",,Away,University of Wisconsin-Whitewater,"Whitewater, WI",,,,"W,7-1",
"September 9, 2005 (Friday)",,Home,Pomona-Pitzer,Macalester Stadium,,,,"W,1-0",
"September 10, 2005 (Saturday)",,Home,Grinnell College,Macalester Stadium,,,,"W,1-0",
"September 13, 2005 (Tuesday)",,Away,St. Catherine University,"St. Paul, MN",,,,"W,4-1",
"September 16, 2005 (Friday)",,Home,Wheaton College (Ill.),Macalester Stadium,,,,"W,2-1",
"September 23, 2005 (Friday)",,Home,University of Wisconsin-Eau Claire,Macalester Stadium,,,,"W,2-1",
"September 25, 2005 (Sunday)",,Home,Saint Mary's University (Minn.),Macalester Stadium,,,,"W,1-0",
"September 28, 2005 (Wednesday)",,Away,Augsburg University,"Minneapolis, MN",,,,"T,1-12 overtimes",
"October 1, 2005 (Saturday)",,Home,Bethel University,Macalester Stadium,,,,"W,5-0",
"October 5, 2005 (Wednesday)",,Away,University of St. Thomas,"St. Paul, MN",,,,"W,3-0",
"October 7, 2005 (Friday)",,Home,Gustavus Adolphus College,Macalester Stadium,,,,"W,2-0",
"October 11, 2005 (Tuesday)",,Away,College of Saint Benedict,"St. Joseph, MN",,,,"W,1-0overtime",
"October 15, 2005 (Saturday)",,Away,Concordia College (Minn.),"Moorhead, MN",,,,"W,5-1",
"October 18, 2005 (Tuesday)",,Home,Hamline University,Macalester Stadium,,,,"W,2-0",
"October 22, 2005 (Saturday)",,Away,St. Olaf College,"Northfield, MN",,,,"W,2-0",
"October 25, 2005 (Tuesday)",,Home,Carleton College,Macalester Stadium,,,,"W,3-0",
"October 28, 2005 (Friday)",,Away,Trinity University (Texas),"San Antonio, TX",,,,"W,1-0",
"October 30, 2005 (Sunday)",,Away,Southwestern University,"Georgetown, TX",,,,"W,3-0",
"November 1, 2005 (Tuesday)",,Home,Augsburg University,Macalester Stadium (MIAC Playoffs),,,MIAC Playoffs,"W,3-0",
"November 5, 2005 (Saturday)",,Home,Concordia College (Minn.),Macalester Stadium (MIAC Playoffs),,,MIAC Playoffs,"W,1-0overtime",
"November 12, 2005 (Saturday)",,Home,Grinnell College,Macalester Stadium (NCAA Divison III Playoffs),,,NCAA Division III Playoffs,"W,3-0",
"November 18, 2005 (Friday)",,Home,University of Puget Sound,Macalester Stadium (NCAA Division III Playoffs),,,NCAA Division III Playoffs,"T,0-02OT, lost on PK shootout 8-7",
