Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2014,Carleton College,0-1,97:25,1,0.92,6,0.857,0,1,0,0,14
9/3/2014,"Dubuque, Univ. of",0-0,110:00,0,0.43,12,1.0,0,0,1,1,21
9/6/2014,Aurora University,1-1,110:00,1,0.57,7,0.875,0,0,1,0,11
9/10/2014,Coe College,5-0,90:00,0,0.44,8,1.0,1,0,0,1,11
9/13/2014,Webster,2-0,90:00,0,0.36,1,1.0,1,0,0,1,3
9/14/2014,Penn St.-Behrend,3-1,90:00,1,0.46,0,0.0,1,0,0,0,0
9/20/2014,Knox College,0-3,90:00,3,0.8,2,0.4,0,1,0,0,7
9/21/2014,Buena Vista Univ.,4-0,90:00,0,0.7,3,1.0,1,0,0,1,10
9/27/2014,Illinois College,0-1,90:00,1,0.73,2,0.667,0,1,0,0,6
10/4/2014,Lake Forest,1-1,110:00,1,0.74,8,0.889,0,0,1,0,25
10/5/2014,Carroll University,0-0,110:00,0,0.67,10,1.0,0,0,1,1,18
10/11/2014,Beloit College,3-0,90:00,0,0.62,2,1.0,1,0,0,1,3
10/18/2014,Lawrence University,1-0,90:00,0,0.57,4,1.0,1,0,0,1,6
10/19/2014,St. Norbert College,0-0,110:00,0,0.53,12,1.0,0,0,1,1,14
10/25/2014,Monmouth College,1-0,107:06,0,0.49,6,1.0,1,0,0,1,0
10/29/2014,Cornell College,8-0,90:00,0,0.46,3,1.0,1,0,0,1,4
11/1/2014,Ripon College,5-0,90:00,0,0.44,1,1.0,1,0,0,1,3
Totals,,-,1654,8,0.44,87,0.916,9,3,5,11,156
Opponent,,-,1654:31,34,1.85,111,0.766,3,9,5,6,239
