Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2014,Carleton College,1-0,1,1,3,14,0.071,7,0.5,0-0,1,0-0,1057
9/3/2014,"Dubuque, Univ. of",0-0,0,0,0,22,0.0,12,0.545,2-1,0,0-1,1161
9/6/2014,Aurora University,1-1,1,1,3,12,0.083,8,0.667,1-0,0,0-1,1172
9/10/2014,Coe College,0-5,0,0,0,11,0.0,8,0.727,0-0,0,0-0,1014
9/13/2014,Webster,0-2,0,0,0,3,0.0,1,0.333,0-0,0,0-0,989
9/14/2014,Penn St.-Behrend,1-3,1,1,3,12,0.083,1,0.083,2-0,0,0-0,990
9/20/2014,Knox College,3-0,3,2,8,8,0.375,5,0.625,0-0,1,1-1,979
9/21/2014,Buena Vista Univ.,0-4,0,0,0,10,0.0,3,0.3,0-0,0,0-0,937
9/27/2014,Illinois College,1-0,1,0,2,6,0.167,3,0.5,1-0,1,0-0,990
10/4/2014,Lake Forest,1-1,1,0,2,26,0.038,9,0.346,1-0,0,0-0,1210
10/5/2014,Carroll University,0-0,0,0,0,18,0.0,10,0.556,0-0,0,0-0,1091
10/11/2014,Beloit College,0-3,0,0,0,3,0.0,2,0.667,1-0,0,0-0,959
10/18/2014,Lawrence University,0-1,0,0,0,7,0.0,4,0.571,1-0,0,0-1,990
10/19/2014,St. Norbert College,0-0,0,0,0,14,0.0,12,0.857,3-1,0,0-0,1143
10/25/2014,Monmouth College,0-1,0,0,0,14,0.0,6,0.429,0-0,0,0-0,0
10/29/2014,Cornell College,0-8,0,0,0,4,0.0,3,0.75,1-0,0,0-0,988
11/1/2014,Ripon College,0-5,0,0,0,3,0.0,1,0.333,1-0,0,0-0,0
Total,,8-34,8,5,21,187,0.043,95,0.508,14-2,3,1-4,15670
Grinnell College,,-,34,26,94,254,0.134,145,0.571,18-2,9,-,15928
