Statistic,High,Opponent
POINTS,22,Cornell College (10/29/2014)
GOALS,8,Cornell College (10/29/2014)
ASSISTS,6,Coe College (9/10/2014) Cornell College (10/29/2014)
SHOTS,36,Cornell College (10/29/2014)
SHOTS ON GOAL,20,Cornell College (10/29/2014)
SAVES,12,"Dubuque, Univ. of (9/3/2014) St. Norbert College (10/19/2014)"
FOULS,17,Beloit College (10/11/2014)
CORNER KICKS,11,St. Norbert College (10/19/2014)
