#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"May, Major 1May, Major",8,3,413:31,5,1.09,10,0.667,2.0,2.0,0.0,1/8,27,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",15,14,1241:00,3,0.22,71,0.959,7.0,1.0,5.0,5/8,129,View Bio
,Total,17,-,1654:31,8,0.44,81,0.91,9.0,3.0,5.0,9,156,
,Opponents,17,-,1654:31,34,1.85,100,0.746,,,,6,239,
