Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2014,vs Carleton College,0-1,0,0,0,5,0.0,2,0.4,2-0,0,0-0,1061
9/3/2014,"vs Dubuque, Univ. of",0-0,0,0,0,20,0.0,8,0.4,3-0,0,0-0,1199
9/6/2014,vs Aurora University,1-1,1,1,3,14,0.071,10,0.714,0-0,0,0-0,1238
9/10/2014,vs Coe College,5-0,5,6,16,25,0.2,13,0.52,0-0,1,0-0,987
9/13/2014,vs Webster,2-0,2,1,5,6,0.333,3,0.5,0-0,1,0-0,990
9/14/2014,vs Penn St.-Behrend,3-1,3,2,8,6,0.5,3,0.5,1-0,1,0-0,991
9/20/2014,vs Knox College,0-3,0,0,0,8,0.0,3,0.375,0-0,0,0-0,957
9/21/2014,at Buena Vista Univ.,4-0,4,4,12,20,0.2,13,0.65,1-0,1,0-0,944
9/27/2014,vs Illinois College,0-1,0,0,0,13,0.0,9,0.692,0-0,0,0-0,1010
10/4/2014,at Lake Forest,1-1,1,1,3,6,0.167,2,0.333,2-0,0,0-0,1209
10/5/2014,at Carroll University,0-0,0,0,0,5,0.0,2,0.4,3-1,0,0-0,1118
10/11/2014,at Beloit College,3-0,3,3,9,21,0.143,13,0.619,1-0,1,0-0,1007
10/18/2014,vs Lawrence University,1-0,1,0,2,15,0.067,12,0.8,1-0,1,1-2,990
10/19/2014,vs St. Norbert College,0-0,0,0,0,19,0.0,9,0.474,1-0,0,0-0,1204
10/25/2014,at Monmouth College,1-0,1,0,2,6,0.167,6,1.0,3-1,1,0-0,0
10/29/2014,vs Cornell College,8-0,8,6,22,36,0.222,20,0.556,0-0,1,0-0,1023
11/1/2014,at Ripon College,5-0,5,2,12,29,0.172,17,0.586,0-0,1,0-0,0
Total,,34-8,34,26,94,254,0.134,145,0.571,18-2,9,1-2,15928
Opponent,,-,8,5,21,187,0.043,95,0.508,14-2,3,-,15670
