Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/31/2014,vs Carleton College,L,0-1,(0-1-0),,175,
9/3/2014,"vs Dubuque, Univ. of",T,0-0,(0-1-1),,51,
9/6/2014,vs Aurora University,T,1-1,(0-1-2),,104,Joseph Brown (0) (Nicholas Brule)
9/10/2014,vs Coe College,W,5-0,(1-1-2),,53,"Nicholas Brule (0) (Antonio Dimarco)  Joseph Brown (0) (Nicholas Brule , Artis Curiskis)  Joseph Brown (0) (Artis Curiskis)  Michael Hurley (0) (Joseph Brown)  Antonio Dimarco (0) (Artis Curiskis)"
9/13/2014,vs Webster,W,2-0,(2-1-2),,120,Nicholas Brule (0) (Joseph Brown)  Artis Curiskis (0)
9/14/2014,vs Penn St.-Behrend,W,3-1,(3-1-2),,80,Joseph Brown (0) Michael Hurley (0) (Elliot Meyer)  Joseph Brown (0) (Benjamin Warner)
9/20/2014,vs Knox College,L,0-3,"(3-2-2, 0-1-0 MWC)",0-1-0 MWC,63,
9/21/2014,at Buena Vista Univ.,W,4-0,(4-2-2),,250,Jake O'Polka (0) (Joseph Brown)  Benjamin Warner (0) (Joseph Brown)  Artis Curiskis (0) (Joseph Brown)  Artis Curiskis (0) (Joseph Brown)
9/27/2014,vs Illinois College,L,0-1,"(4-3-2, 0-2-0 MWC)",0-2-0 MWC,112,
10/4/2014,at Lake Forest,T,1-1,"(4-3-3,0-2-1)",0-2-1,211,Joseph Brown (6) (Antonio Dimarco)
10/5/2014,at Carroll University,T,0-0,"(4-3-4, 0-2-2 MWC)",0-2-2 MWC,123,
10/11/2014,at Beloit College,W,3-0,"(5-3-4, 1-2-2 MWC)",1-2-2 MWC,100,Lukas Eng (0) (Rockne Decoster)  Artis Curiskis (0) (Michael Hurley)  Nicholas Brule (0) (Juan Marin)
10/18/2014,vs Lawrence University,W,1-0,(6-3-4. 2-2-2 MWC),,78,Benjamin Warner (0)
10/19/2014,vs St. Norbert College,T,0-0,"(6-3-5, 2-2-3 MWC)",2-2-3 MWC,91,
10/25/2014,at Monmouth College,W,1-0,"(7-3-5, 3-2-3)",3-2-3,100,Elliot Meyer (1)
10/29/2014,vs Cornell College,W,8-0,"(8-3-5, 4-2-3 MWC)",4-2-3 MWC,53,"Elliot Meyer (0) Caelum Froikin (0) (Benjamin Warner , Michael Hurley)  Artis Curiskis (0) (Antonio Dimarco)  Antonio Dimarco (0) Ezra Edgerton (0) (Michael Hurley)  Nicholas Brule (0) (Joseph Brown , Benjamin Warner)  Nicholas Brule (0) Caelum Froikin (0)"
11/1/2014,at Ripon College,W,5-0,"(9-3-5, 5-2-3 MWC)",5-2-3 MWC,59,Antonio Dimarco (3) (Lukas Eng)  Elliot Meyer (3) (Jake O'Polka)  Joseph Brown (7) Joseph Brown (8) Michael Hurley (3)
