Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2014,Carleton College,1-0,97:25,0,0.0,2,1.0,1,0,0,1,5
9/3/2014,"Dubuque, Univ. of",0-0,110:00,0,0.0,8,1.0,0,0,1,1,20
9/6/2014,Aurora University,1-1,110:00,1,0.28,9,0.9,0,0,1,0,14
9/10/2014,Coe College,0-5,90:00,5,1.33,8,0.615,0,1,0,0,25
9/13/2014,Webster,0-2,90:00,2,1.45,1,0.333,0,1,0,0,6
9/14/2014,Penn St.-Behrend,1-3,90:00,3,1.69,0,0.0,0,1,0,0,0
9/20/2014,Knox College,3-0,90:00,0,1.46,3,1.0,1,0,0,1,8
9/21/2014,Buena Vista Univ.,0-4,90:00,4,1.76,9,0.692,0,1,0,0,20
9/27/2014,Illinois College,1-0,90:00,0,1.57,9,1.0,1,0,0,1,13
10/4/2014,Lake Forest,1-1,110:00,1,1.49,1,0.5,0,0,1,0,6
10/5/2014,Carroll University,0-0,110:00,0,1.34,2,1.0,0,0,1,1,4
10/11/2014,Beloit College,0-3,90:00,3,1.46,10,0.769,0,1,0,0,21
10/18/2014,Lawrence University,0-1,90:00,1,1.43,11,0.917,0,1,0,0,13
10/19/2014,St. Norbert College,0-0,110:00,0,1.32,9,1.0,0,0,1,1,19
10/25/2014,Monmouth College,0-1,107:06,1,1.28,5,0.833,0,1,0,0,0
10/29/2014,Cornell College,0-8,90:00,8,1.67,12,0.6,0,1,0,0,36
11/1/2014,Ripon College,0-5,90:00,5,1.85,12,0.706,0,1,0,0,29
Totals,,-,1654,34,1.85,111,0.766,3,9,5,6,239
Grinnell College,,-,1654:31,8,0.44,87,0.916,9,3,5,9,156
