Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,34,8
Goals Per Game G/AVG,2.00,0.47
Shots SH,254,187
Shots Per Game SH/AVG,14.9,11.0
Shots Percentage SH%,0.134,0.043
Shots On Goal SOG,145-254,95-187
Shots On Goal Percentage SOG%,0.571,0.508
Penalties,Penalties,Penalties
Yellow Cards YC,18,14
Red Cards RC,2,2
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,26,5
Saves S,87,111
Fouls F,132,122
Corner Kicks CK,108,67
Penalty Kicks: Goals-Attempts PG-PA,1-2,1-4
