Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/31/2014,vs Carleton College,0-1,0/1,0/1,5/14,2/7,6/4,2/0,0/0
9/3/2014,"vs Dubuque, Univ. of",0-0,0/0,0/0,20/22,8/12,6/8,3/2,0/1
9/6/2014,vs Aurora University,1-1,1/1,1/1,14/12,10/8,4/6,0/1,0/0
9/10/2014,vs Coe College,5-0,5/0,6/0,25/11,13/8,4/2,0/0,0/0
9/13/2014,vs Webster,2-0,2/0,1/0,6/3,3/1,5/4,0/0,0/0
9/14/2014,vs Penn St.-Behrend,3-1,3/1,2/1,6/12,3/1,10/2,1/2,0/0
9/20/2014,vs Knox College,0-3,0/3,0/2,8/8,3/5,10/4,0/0,0/0
9/21/2014,at Buena Vista Univ.,4-0,4/0,4/0,20/10,13/3,6/3,1/0,0/0
9/27/2014,vs Illinois College,0-1,0/1,0/0,13/6,9/3,10/4,0/1,0/0
10/4/2014,at Lake Forest,1-1,1/1,1/0,6/26,2/9,5/4,2/1,0/0
10/5/2014,at Carroll University,0-0,0/0,0/0,5/18,2/10,2/5,3/0,1/0
10/11/2014,at Beloit College,3-0,3/0,3/0,21/3,13/2,7/2,1/1,0/0
10/18/2014,vs Lawrence University,1-0,1/0,0/0,15/7,12/4,7/3,1/1,0/0
10/19/2014,vs St. Norbert College,0-0,0/0,0/0,19/14,9/12,11/5,1/3,0/1
10/25/2014,at Monmouth College,1-0,1/0,0/0,6/14,6/6,2/9,3/0,1/0
10/29/2014,vs Cornell College,8-0,8/0,6/0,36/4,20/3,4/1,0/1,0/0
11/1/2014,at Ripon College,5-0,5/0,2/0,29/3,17/1,9/1,0/1,0/0
Totals,,,34/8,26/5,254/187,145/95,108/67,18/14,2/2
