0,1,2
POINTS,2,Lawrence University (10/18/2014) Monmouth College (10/25/2014)
GOALS,1,Aurora University (9/6/2014) Lake Forest (10/4/2014) Lawrence University (10/18/2014) Monmouth College (10/25/2014)
ASSISTS,1,Aurora University (9/6/2014) Webster (9/13/2014) Lake Forest (10/4/2014)
SHOTS,5,Carleton College (8/31/2014) Webster (9/13/2014) Penn St.-Behrend (9/14/2014) Lake Forest (10/4/2014) Carroll University (10/5/2014) Monmouth College (10/25/2014)
SHOTS ON GOAL,2,Carleton College (8/31/2014) Webster (9/13/2014) Penn St.-Behrend (9/14/2014) Knox College (9/20/2014) Lake Forest (10/4/2014) Carroll University (10/5/2014)
SAVES,1,Webster (9/13/2014) Ripon College (11/1/2014)
FOULS,2,Carleton College (8/31/2014)
CORNER KICKS,2,Aurora University (9/6/2014) Coe College (9/10/2014) Carroll University (10/5/2014) Monmouth College (10/25/2014) Cornell College (10/29/2014)
