#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"May, Major 1May, Major",4,1,143:31,4,2.51,4,0.5,0.0,2.0,0.0,0/6,12,View Bio
0.0,"Tyree, Isaiah 00Tyree, Isaiah",10,9,833:35,1,0.11,43,0.977,5.0,0.0,3.0,4/6,74,View Bio
,Total,10,-,977:06,5,0.46,47,0.904,5.0,2.0,3.0,5,86,
,Opponents,10,-,977:06,19,1.75,68,0.782,,,,4,149,
