Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"November 15, 2013 (Friday)",5:00 p.m.,Home,Finlandia University,"Grinnell, IA/Darby Gymnasium",,,,"W,144-99",Box ScoreRecap
"November 17, 2013 (Sunday)",3:00 p.m.,Home,Crossroads College,"Grinnell, IA/Darby Gymnasium",,,,"W,173-123",Box ScoreRecap
"November 20, 2013 (Wednesday)",5:30 p.m.,Home,Wartburg College,"Grinnell, IA/Darby Gymnasium",,,,"W,88-79",Box ScoreRecap
"November 23, 2013 (Saturday)",1:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"W,132-126",Box ScoreRecap
"November 30, 2013 (Saturday)",1:00 p.m.,Away,Beloit College,"Beloit, WI",,,,"W,128-120",Box ScoreRecap
"December 4, 2013 (Wednesday)",5:00 p.m.,Home,Monmouth College,"Grinnell, IA/Darby Gymnasium",,,,"W,122-92",Box ScoreRecap
"December 7, 2013 (Saturday)",1:00 p.m.,Home,St. Norbert College,"Grinnell, IA/Darby Gymnasium",,,,"L,115-121",Box ScoreRecap
"December 14, 2013 (Saturday)",2:00 p.m.,Away,Simpson College,"Indianola, IA",,,,"W,156-150",Box ScoreRecap
"January 4, 2014 (Saturday)",1:00 p.m.,Away,Ripon College,"Ripon, WI",,,,"L,99-126",Box ScoreRecap
"January 6, 2014 (Monday)",7:00 p.m.,Home,College of Faith,"Grinnell, IA/Darby Gymnasium",,,,"W,164-144",Box ScoreRecap
"January 8, 2014 (Wednesday)",5:30 p.m.,Home,Knox College,"Grinnell, IA/Darby Gymnasium",,,,"W,124-85",Box ScoreRecap
"January 11, 2014 (Saturday)",1:00 p.m.,Home,Carroll University,"Grinnell, IA/Darby Gymnasium",,,,"W,105-95",Box ScoreRecap
"January 14, 2014 (Tuesday)",5:30 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,118-97",Box ScoreRecap
"January 18, 2014 (Saturday)",1:00 p.m.,Away,Lawrence University,"Appleton, WI",,,,"L,94-111",Box ScoreRecap
"January 22, 2014 (Wednesday)",5:00 p.m.,Home,Illinois College,"Grinnell, IA/Darby Gymnasium",,,,"L,75-98",Box ScoreRecap
"January 25, 2014 (Saturday)",1:00 p.m.,Home,Ripon College,"Grinnell, IA/Darby Gymnasium",,,,"W,110-102",Box ScoreRecap
"January 28, 2014 (Tuesday)",5:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,121-115",Box ScoreRecap
"February 1, 2014 (Saturday)",1:00 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"W,100-95",Box ScoreRecap
"February 5, 2014 (Wednesday)",5:30 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,115-94",Box ScoreRecap
"February 8, 2014 (Saturday)",1:45 p.m.,Home,Beloit College,"Grinnell, IA/Darby Gymnasium",,,,"W,111-98",Box ScoreRecap
"February 15, 2014 (Saturday)",1:00 p.m.,Away,St. Norbert College,De Pere. WI,,,,"L,88-113",Box ScoreRecap
"February 19, 2014 (Wednesday)",5:30 p.m.,Home,Cornell College,"Grinnell, IA/Darby Gymnasium",,,,"W,107-93",Box ScoreRecap
"February 22, 2014 (Saturday)",1:00 p.m.,Home,Lawrence University,"Grinnell, IA/Darby Gymnasium",,,,"W,122-111",Box ScoreRecap
"February 28, 2014 (Friday)",1:30 p.m.,Neutral,Ripon College (Semifinal),"De Pere, WI",,,2014 Midwest Conference Men's Basketball Tournament,"W,122-115",Box ScoreRecap
"March 1, 2014 (Saturday)",3:00 p.m.,Away,St. Norbert College (Championship),De Pere. WI,,,2014 Midwest Conference Men's Basketball Tournament,"L,86-99",Box ScoreRecap
