Statistic,Grinnell College,Opponents OPP
Attack,Attack,Attack
Kills K,1443,1013
Errors ATE,555,524
Attempts ATT,4157,3895
Percent ATT%,.214,.126
Kills Per Set K/S,13.0,9.1
Set,Set,Set
Assists AST,1270,905
Assists Per Set AST/S,11.4,8.2
Ball Handling Errors BHE,23,54
Serve,Serve,Serve
Aces SA,258,156
Errors SE,273,180
Aces Per Set SA/S,2.3,1.4
Receptions,Receptions,Receptions
Errors RE,144,254
Errors Per Set RE/S,1.3,2.3
Defense,Defense,Defense
Digs DIG,2007,1753
Digs Per Set DIG/S,18.1,15.8
Blocking,Blocking,Blocking
Solo BS,36,44
Assists BA,194,268
Errors BE,20,33
Blocks BLK,133.0,178.0
Blocks Per Set BLK/S,1.2,1.6
