#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",102,323,3.17,25,261,0.904,0.25,4,34,38.0,0.37,2,1,View Bio
2.0,"Smith, Abbie 2Smith, Abbie",11,16,1.45,0,0,0.0,0.0,0,2,2.0,0.18,0,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",110,352,3.2,44,355,0.876,0.4,0,9,9.0,0.08,1,0,View Bio
5.0,"Smith, Madison 5Smith, Madison",87,258,2.97,14,240,0.942,0.16,0,0,0.0,0.0,0,2,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",22,7,0.32,1,0,0.0,0.05,0,1,1.0,0.05,0,1,View Bio
7.0,"Killin, Anna 7Killin, Anna",93,37,0.4,0,0,0.0,0.0,12,47,59.0,0.63,7,1,View Bio
8.0,"Welch, Julia 8Welch, Julia",34,30,0.88,0,0,0.0,0.0,0,0,0.0,0.0,0,2,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",103,117,1.14,2,19,0.895,0.02,0,0,0.0,0.0,0,0,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",111,279,2.51,2,5,0.6,0.02,2,5,7.0,0.06,4,9,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",101,44,0.44,1,3,0.667,0.01,7,34,41.0,0.41,4,1,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",28,9,0.32,0,0,0.0,0.0,4,14,18.0,0.64,1,1,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",11,3,0.27,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",107,56,0.52,0,2,1.0,0.0,7,48,55.0,0.51,1,2,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",102,468,4.59,17,376,0.955,0.17,0,0,0.0,0.0,0,0,View Bio
23.0,"Smith, Sophie 23Smith, Sophie",10,8,0.8,3,4,0.25,0.3,0,0,0.0,0.0,0,0,View Bio
,Total,111,2007,18.08,144,1265,0.886,1.3,36,194,133.0,1.2,20,23,
,Opponents,111,1753,15.79,254,1395,0.818,2.29,44,268,178.0,1.6,33,54,
