#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",102,28,18.0,558.0,5.47,488,4.78,164,1259,0.257,9,0.09,49,0.48,50,View Bio
2.0,"Smith, Abbie 2Smith, Abbie",11,7,1.0,11.0,1.0,7,0.64,2,21,0.238,27,2.45,3,0.27,3,View Bio
4.0,"Woock, Rachel 4Woock, Rachel",110,31,20.0,339.5,3.09,305,2.77,151,866,0.178,10,0.09,30,0.27,56,View Bio
5.0,"Smith, Madison 5Smith, Madison",87,27,16.0,26.0,0.3,3,0.03,1,12,0.167,9,0.1,23,0.26,24,View Bio
6.0,"Richardson, Avery 6Richardson, Avery",22,12,1.0,26.5,1.2,25,1.14,15,89,0.112,0,0.0,1,0.05,1,View Bio
7.0,"Killin, Anna 7Killin, Anna",93,27,18.0,213.5,2.3,178,1.91,65,471,0.24,2,0.02,0,0.0,0,View Bio
8.0,"Welch, Julia 8Welch, Julia",34,15,1.0,9.0,0.26,1,0.03,0,5,0.2,32,0.94,8,0.24,7,View Bio
9.0,"Nyquist, Emmy 9Nyquist, Emmy",103,31,2.0,35.0,0.34,2,0.02,0,10,0.2,14,0.14,33,0.32,28,View Bio
10.0,"Roth, Julianna 10Roth, Julianna",111,31,20.0,85.5,0.77,43,0.39,11,244,0.131,1087,9.79,38,0.34,29,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",101,28,19.0,213.0,2.11,189,1.87,54,503,0.268,5,0.05,0,0.0,0,View Bio
12.0,"Carbajal, Sophia 12Carbajal, Sophia",28,12,3.0,50.0,1.79,38,1.36,19,114,0.167,3,0.11,1,0.04,2,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",11,6,0.0,8.0,0.73,0,0.0,0,0,0.0,0,0.0,8,0.73,8,View Bio
15.0,"Taylor, Hannah 15Taylor, Hannah",107,31,1.0,181.0,1.69,149,1.39,66,477,0.174,5,0.05,1,0.01,0,View Bio
20.0,"Lowrey, Payton 20Lowrey, Payton",102,29,15.0,65.0,0.64,5,0.05,4,53,0.019,65,0.64,60,0.59,64,View Bio
23.0,"Smith, Sophie 23Smith, Sophie",10,6,0.0,13.0,1.3,10,1.0,3,33,0.212,2,0.2,3,0.3,1,View Bio
,Total,111,31,,1834.0,16.52,1443,13.0,555,4157,0.214,1270,11.44,258,2.32,273,
,Opponents,111,31,,1347.0,12.14,1013,9.13,524,3895,0.126,905,8.15,156,1.41,180,
