Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/30/2019,vs Anderson,W,5,58,19,151,0.258,46,11,11,6,73,3,6,1,6.0,1,75.0
8/30/2019,vs MacMurray,W,3,42,13,122,0.238,39,7,16,1,66,3,4,0,5.0,0,54.0
8/31/2019,vs Trine University,W,3,27,11,96,0.167,23,7,3,3,51,0,18,0,9.0,4,43.0
8/31/2019,vs Culver-Stockton,W,3,36,10,93,0.28,31,12,8,1,56,1,12,0,7.0,0,55.0
9/03/2019,Faith Bapt. Bible,W,3,33,7,87,0.299,26,15,4,4,51,0,0,0,0.0,0,48.0
9/06/2019,Cornell College,W,3,39,12,113,0.239,36,7,10,6,50,0,8,0,4.0,0,50.0
9/06/2019,Carleton,W,4,57,22,141,0.248,48,8,10,4,58,0,2,0,1.0,0,66.0
9/07/2019,Luther,W,3,39,16,112,0.205,33,8,12,2,45,3,8,0,7.0,0,54.0
9/12/2019,Simpson,W,4,51,18,158,0.209,45,10,9,9,69,1,2,0,2.0,1,63.0
9/13/2019,vs St. Scholastica,L,5,61,31,179,0.168,50,10,4,4,100,4,6,2,7.0,0,78.0
9/13/2019,vs Concordia College,W,3,46,16,135,0.222,39,6,7,0,70,1,2,0,2.0,0,54.0
9/14/2019,at Wartburg,L,4,50,22,170,0.165,43,6,11,8,71,0,8,0,4.0,0,60.0
9/20/2019,Concordia Chicago,W,3,44,15,110,0.264,35,13,10,3,47,1,2,0,2.0,0,59.0
9/20/2019,Alverno,W,3,33,8,72,0.347,28,9,8,5,31,4,0,1,4.0,1,46.0
9/21/2019,Neb. Wesleyan,W,5,74,24,199,0.251,67,10,9,7,95,0,6,0,3.0,1,87.0
9/23/2019,at Faith Bapt. Bible,W,3,41,14,94,0.287,38,12,7,4,48,1,4,1,3.0,1,56.0
9/28/2019,at Lawrence University,W,3,38,13,76,0.329,34,13,8,6,34,0,4,0,2.0,0,53.0
10/04/2019,Lake Forest,W,4,48,17,149,0.208,42,11,11,5,77,1,12,0,7.0,3,66.0
10/05/2019,Beloit,W,3,47,8,102,0.382,43,4,12,1,51,1,10,0,6.0,2,57.0
10/08/2019,William Penn,W,3,40,17,145,0.159,36,9,6,3,78,0,6,0,3.0,0,52.0
10/11/2019,Knox,W,3,44,21,121,0.19,37,6,10,4,53,2,4,0,4.0,0,54.0
10/18/2019,at St. Norbert College,L,3,32,18,124,0.113,25,4,5,1,55,0,14,3,7.0,0,43.0
10/19/2019,at Ripon College,W,3,47,11,114,0.316,44,3,7,4,53,2,8,0,6.0,0,56.0
10/25/2019,at Illinois College,L,3,33,22,127,0.087,33,4,5,5,66,1,4,4,3.0,0,40.0
10/26/2019,at Monmouth (IL),W,5,69,41,226,0.124,65,13,12,8,108,1,6,0,4.0,2,86.0
10/30/2019,Cornell College,W,5,60,23,199,0.186,55,11,12,8,102,1,2,0,2.0,2,73.0
11/02/2019,Buena Vista,W,4,60,18,167,0.251,51,9,12,6,78,2,4,0,4.0,1,73.0
11/02/2019,Central (IA),W,3,44,16,109,0.257,40,7,9,3,45,0,16,0,8.0,0,59.0
11/08/2019,at Cornell College,W,4,59,24,174,0.201,52,2,10,5,93,2,10,3,7.0,1,68.0
11/09/2019,vs St. Norbert College,W,5,58,25,173,0.191,55,7,14,8,68,1,0,4,1.0,1,66.0
11/15/2019,vs Carthage,L,3,33,23,119,0.084,31,4,1,10,65,0,6,1,3.0,2,40.0
,Grinnell College,,111,1443,555,4157,0.214,1270,258,273,144,2007,36,194,20,133.0,23,1834.0
,Opponents,,111,1013,524,3895,0.126,905,156,180,254,1753,44,268,33,178.0,54,1347.0
