Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 7, 2013 (Saturday)",1:00 p.m.,Away,Carleton College,"Northfield, MN",,,"L,10-29",Box ScoreRecap
"September 14, 2013 (Saturday)",1:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,"L,13-42",Box ScoreRecap
"September 21, 2013 (Saturday)",1:00 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,"L,7-15",Box ScoreRecap
"September 28, 2013 (Saturday)",1:00 p.m.,Home,Beloit College,"Grinnell, IA/Rosenbloom Field",,,"W,42-17",Box ScoreRecap
"October 12, 2013 (Saturday)",1:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,"L,3-65",Box ScoreRecap
"October 19, 2013 (Saturday)",1:00 p.m.,Home,Ripon College,"Grinnell, IA/Rosenbloom Field",,,"L,27-33",Box ScoreRecap
"October 26, 2013 (Saturday)",1:00 p.m.,Home,Carroll University,"Grinnell, IA/Rosenbloom Field",,,"L,0-37",Box ScoreRecap
"November 2, 2013 (Saturday)",1:00 p.m.,Away,Lawrence University,"Appleton, WI",,,"W,24-21",Box ScoreRecap
"November 9, 2013 (Saturday)",1:00 p.m.,Away,St. Norbert College,De Pere. WI,,,"L,0-23",Box ScoreRecap
"November 16, 2013 (Saturday)",Noon,Home,Cornell College,"Grinnell, IA/Rosenbloom Field",,,"L,0-45",Box ScoreRecap
