Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2007 (Friday)",3:30 p.m.,Away,Central College,"Pella, IA",,,"T,1-1",Recap
"September 1, 2007 (Saturday)",6:00 p.m.,Away,Simpson College,"Indianola, IA",,,"T,1-1",Recap
"September 4, 2007 (Tuesday)",7:30 p.m.,Home,St. Scholastica,Macalester Stadium,,,"W,2-0",Recap
"September 8, 2007 (Saturday)",7:30 p.m.,Home,Clarke University,Macalester Stadium,,,"W,2-0",Recap
"September 12, 2007 (Wednesday)",4:00 p.m.,Away,Carleton,Northfield,,,"L,1-3",Recap
"September 15, 2007 (Saturday)",5:00 p.m.,Neutral,Denison University,"Wilmington, Ohio",,,"L,0-2",Recap
"September 16, 2007 (Sunday)",1:00 p.m.,Neutral,Olivet College,"Wilmington, Ohio",,,"W,1-0",Recap
"September 21, 2007 (Friday)",7:30 p.m.,Home,St. Olaf,Macalester Stadium,,,"W,2-0",Recap
"September 23, 2007 (Sunday)",7:00 p.m.,Home,Luther (Ia.),Macalester Stadium,,,"T,0-0",Recap
"September 26, 2007 (Wednesday)",4:00 p.m.,Away,Hamline,St. Paul,,,"L,0-2",Recap
"September 30, 2007 (Sunday)",5:00 p.m.,Home,Wartburg College,Macalester Stadium,,,"L,1-2",Recap
"October 3, 2007 (Wednesday)",4:00 p.m.,Away,Bethel,Arden Hills,,,"W,1-0",Recap
"October 6, 2007 (Saturday)",7:30 p.m.,Home,St. John's,Macalester Stadium,,,"L,0-1",Recap
"October 10, 2007 (Wednesday)",7:00 p.m.,Home,Concordia College (Minn.),Macalester Stadium,,,"W,1-0",Recap
"October 13, 2007 (Saturday)",1:00 p.m.,Away,Saint Mary's University (Minn.),"Winona, MN",,,"W,2-0",Recap
"October 17, 2007 (Wednesday)",7:45 p.m.,Home,St. Thomas,Macalester Stadium,,,"T,1-1",Recap
"October 23, 2007 (Tuesday)",4:00 p.m.,Away,Gustavus Adolphus,St. Peter,,,"L,0-1",Recap
"October 27, 2007 (Saturday)",7:30 p.m.,Home,Augsburg,Macalester Stadium,,,"W,2-1",Recap
