Statistic,High,Player,Opponent
INNINGS PITCHED,6.0,Megan Gibson,Knox College (4/19/2014)
RUNS ALLOWED,25.0,Lydia Stariha,Greenville College (4/21/2014)
EARNED RUNS,18.0,Lydia Stariha,St. Norbert College (4/13/2014)
WALKS ALLOWED,12.0,Lydia Stariha,Knox College (4/19/2014)
STRIKEOUTS,5.0,Megan Gibson,Illinois College (4/5/2014)
HITS ALLOWED,23.0,Lydia Stariha,Greenville College (4/21/2014)
DOUBLES ALLOWED,6.0,Lydia Stariha,Monmouth College (4/26/2014)
TRIPLES ALLOWED,2.0,Summer Wilke; Megan Gibson; Lydia Stariha,UW-La Crosse (3/21/2014); Illinois College (4/5/2014); Illinois College (4/5/2014); Greenville College (4/21/2014)
HOME RUNS ALLOWED,3.0,Lydia Stariha; Megan Gibson,Greenville College (4/21/2014); Lake Forest College (4/27/2014); Lake Forest College (4/27/2014)
WILD PITCHES,5.0,Lydia Stariha,St. Norbert College (4/13/2014)
HIT BATTERS,3.0,Megan Gibson,Lake Forest College (4/27/2014)
