Statistic,High,Opponent
PUTOUTS,21,Augsburg College (3/20/2014); Knox College (4/19/2014)
ASSISTS,10,Augsburg College (3/20/2014); Lawrence University (4/11/2014)
ERRORS,7,Illinois College (4/5/2014)
PASSED BALLS,2,UW-Eau Claire (3/18/2014)
DPS TURNED,1,Knox College (4/19/2014); Greenville College (4/21/2014); Pomona-Pitzer (3/21/2014); Cornell College (4/16/2014)
