Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/18/2014,vs,Univ. of La Verne,L,0-9,4.0,9,9,4,3,3,2,1,0,0,0,0,0,0,1,0,7.0
3/18/2014,vs,UW-Eau Claire,L,1-12,5.0,10,12,6,4,5,2,0,0,1,0,1,0,0,2,0,8.4
3/20/2014,vs,Marian University,L,0-8,5.1,12,8,2,2,3,0,0,0,0,0,0,0,0,3,0,2.63
3/20/2014,vs,Augsburg College,L,1-5,7.0,9,5,2,1,3,2,0,0,0,0,1,0,0,4,0,2.0
3/21/2014,vs,UW-La Crosse,L,0-15,5.0,16,15,9,2,2,2,2,0,0,0,0,0,0,5,0,12.6
3/21/2014,vs,Pomona-Pitzer,L,0-15,4.0,16,15,8,1,0,5,1,0,1,0,0,0,0,6,0,14.0
4/5/2014,,Illinois College,L,0-14,5.0,14,14,10,3,5,0,2,2,0,0,2,1,0,7,0,14.0
4/5/2014,,Illinois College,L,1-13,5.0,11,13,2,4,2,3,2,0,1,0,1,0,0,8,0,2.8
4/11/2014,vs,Lawrence University,L,0-8,5.2,8,8,2,1,1,2,1,0,0,0,0,0,0,9,0,2.47
4/11/2014,vs,Carroll University,L,2-12,4.0,11,12,11,5,1,3,0,0,1,1,0,0,0,10,0,19.25
4/12/2014,vs,Beloit College,L,0-8,5.0,5,8,7,10,5,0,0,0,2,0,1,0,0,11,0,9.8
4/13/2014,vs,St. Norbert College,L,0-23,5.0,19,23,18,11,0,4,0,0,5,0,0,0,0,12,0,25.2
4/16/2014,at,Cornell College,L,0-8,4.2,7,8,6,5,3,3,0,0,3,0,1,0,0,13,0,9.0
4/16/2014,at,Cornell College,L,2-10,4.1,7,10,6,12,0,1,0,0,1,0,0,0,0,14,0,9.69
4/19/2014,,Knox College,L,6-14,7.0,8,14,9,12,3,3,0,1,2,0,1,1,0,15,0,9.0
4/19/2014,,Knox College,L,1-22,5.0,16,22,17,12,1,2,0,0,0,0,2,0,0,16,0,23.8
4/21/2014,,Greenville College,L,2-18,5.0,19,18,5,2,0,2,2,1,1,0,1,0,0,17,0,7.0
4/21/2014,,Greenville College,L,5-25,5.0,23,25,14,4,0,5,1,3,1,0,1,0,0,18,0,19.6
4/26/2014,at,Monmouth College,L,0-18,4.0,17,18,10,4,1,3,0,1,2,0,0,0,0,19,0,17.5
4/26/2014,at,Monmouth College,L,4-16,4.0,16,16,13,4,1,8,0,0,2,0,1,0,0,20,0,22.75
4/27/2014,at,Lake Forest College,L,0-11,4.0,8,11,8,7,2,3,0,3,2,0,1,0,0,21,0,14.0
4/27/2014,at,Lake Forest College,L,0-21,4.0,16,21,21,6,1,1,0,4,1,0,3,0,0,22,0,36.75
Total,,,,25-305,105.6,277,305,190,115,42,56,12,15,26,1,17,2,0,22,0,
