#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
18.0,"Stariha, Lydia 18 Stariha, Lydia",0.358,0.839,22-22,53,8,19,1,1,0,1,22,0.415,5,1,8,1,0.424,0,1,3-7,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",0.333,0.714,22-22,48,4,16,1,0,0,5,17,0.354,2,0,11,2,0.36,0,1,0-0,View Bio
14.0,"Villarreal, Teresa 14 Villarreal, Teresa",0.238,0.599,22-20,42,4,10,3,0,0,1,13,0.31,2,1,17,0,0.289,0,1,0-0,View Bio
22.0,"Juveland, Sage 22 Juveland, Sage",0.19,0.595,22-22,42,5,8,1,1,0,1,11,0.262,9,0,9,1,0.333,0,5,1-1,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",0.175,0.389,22-22,40,2,7,0,0,0,2,7,0.175,2,0,12,0,0.214,0,0,4-4,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",0.173,0.346,22-22,52,0,9,0,0,0,4,9,0.173,0,0,13,0,0.173,0,1,0-0,View Bio
10.0,"Flannery, Laura 10 Flannery, Laura",0.045,0.155,22-22,44,1,2,1,0,0,1,3,0.068,1,1,10,1,0.087,0,1,0-0,View Bio
2.0,"Wilke, Summer 2 Wilke, Summer",0.308,0.742,6-6,13,1,4,1,0,0,0,5,0.385,1,0,2,0,0.357,0,0,0-0,View Bio
15.0,"Bean, Alyssa 15 Bean, Alyssa",0.222,0.444,4-4,9,0,2,0,0,0,0,2,0.222,0,0,1,0,0.222,0,0,0-0,View Bio
17.0,"Neckopulos, Alex 17 Neckopulos, Alex",0.143,0.325,15-13,21,0,3,0,0,0,1,3,0.143,1,0,7,0,0.182,0,0,0-0,View Bio
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",0.083,0.166,6-6,12,0,1,0,0,0,0,1,0.083,0,0,3,0,0.083,0,1,0-0,View Bio
,9  9,0.077,0.154,7-6,13,0,1,0,0,0,1,1,0.077,0,0,7,0,0.077,0,0,0-0,
3.0,"Semlow, Andie 3 Semlow, Andie",0.034,0.101,20-19,29,0,1,0,0,0,0,1,0.034,1,0,11,0,0.067,0,1,0-0,View Bio
,Totals,0.199,0.474,22-22,418,25,83,8,2,0,17,95,0.227,24,3,111,5,0.247,0,12,8-12,
,Opponents,0.438,1.161,22-22,633,305,277,56,12,15,261,402,0.635,115,17,42,1,0.526,13,12,42-45,
