Player,Longest,Current
"Stariha, Lydia",8,1
"Matosky, Jordan",6,1
"Juveland, Sage",6,-
"Gibson, Megan",4,-
"Villarreal, Teresa",4,-
"Weber, Kristina",3,-
"Wilke, Summer",2,2
"Bean, Alyssa",2,2
"Semlow, Andie",1,-
"Fulton, Jennifer",1,-
9,1,-
"Flannery, Laura",1,-
"Neckopulos, Alex",1,-
