#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
11.0,"Gibson, Megan 11Gibson, Megan",0.333,0.742,14-14,30,2,10,1,0,0,4,11,0.367,2,0,9,1,0.375,0,0,0-0,View Bio
14.0,"Villarreal, Teresa 14Villarreal, Teresa",0.214,0.588,14-14,28,4,6,3,0,0,0,9,0.321,2,0,13,0,0.267,0,1,0-0,View Bio
22.0,"Juveland, Sage 22Juveland, Sage",0.185,0.572,14-14,27,4,5,0,1,0,1,7,0.259,5,0,5,0,0.313,0,3,0-0,View Bio
18.0,"Stariha, Lydia 18Stariha, Lydia",0.172,0.521,14-14,29,4,5,1,0,0,0,6,0.207,5,1,7,0,0.314,0,1,1-3,View Bio
7.0,"Weber, Kristina 7Weber, Kristina",0.156,0.312,14-14,32,0,5,0,0,0,2,5,0.156,0,0,9,0,0.156,0,1,0-0,View Bio
16.0,"Matosky, Jordan 16Matosky, Jordan",0.143,0.343,14-14,28,2,4,0,0,0,0,4,0.143,2,0,8,0,0.2,0,0,4-4,View Bio
17.0,"Neckopulos, Alex 17Neckopulos, Alex",0.143,0.343,11-11,14,0,2,0,0,0,1,2,0.143,1,0,3,0,0.2,0,0,0-0,View Bio
9.0,9  99,0.083,0.166,6-6,12,0,1,0,0,0,1,1,0.083,0,0,6,0,0.083,0,0,0-0,
3.0,"Semlow, Andie 3Semlow, Andie",0.04,0.117,14-14,25,0,1,0,0,0,0,1,0.04,1,0,11,0,0.077,0,0,0-0,View Bio
10.0,"Flannery, Laura 10Flannery, Laura",0.032,0.064,14-14,31,0,1,0,0,0,1,1,0.032,0,0,7,1,0.032,0,1,0-0,View Bio
,Totals,0.156,0.399,14-14,256,16,40,5,1,0,10,47,0.184,18,1,78,2,0.215,0,7,5-7,
,Opponents,0.427,1.18,14-14,382,198,163,36,5,11,173,242,0.634,96,13,26,1,0.546,7,8,31-33,
