#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
22.0,"Juveland, Sage 22 Juveland, Sage",43,39,2,2,0.953,0,0,0,0,0,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",56,33,20,3,0.946,1,32,3,4,0,View Bio
15.0,"Bean, Alyssa 15 Bean, Alyssa",15,11,3,1,0.933,0,2,0,0,0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",53,37,12,4,0.925,4,18,1,0,0,View Bio
17.0,"Neckopulos, Alex 17 Neckopulos, Alex",13,12,0,1,0.923,0,0,0,0,0,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",62,44,13,5,0.919,1,23,2,4,0,View Bio
14.0,"Villarreal, Teresa 14 Villarreal, Teresa",85,56,14,15,0.824,0,0,0,0,0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",77,33,26,18,0.766,1,0,0,0,0,View Bio
2.0,"Wilke, Summer 2 Wilke, Summer",12,6,3,3,0.75,0,0,0,0,0,View Bio
10.0,"Flannery, Laura 10 Flannery, Laura",32,14,9,9,0.719,1,3,0,0,0,View Bio
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",26,8,10,8,0.692,0,6,0,0,0,View Bio
3.0,"Semlow, Andie 3 Semlow, Andie",43,27,1,15,0.651,0,0,0,0,0,View Bio
9.0,9  9 9,3,1,0,2,0.333,0,0,0,0,0,
,Totals,520,321,113,86,0.835,4,84,6,8,0,
,Opponents,506,348,139,19,0.962,6,16,8,3,0,
