Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/18/2014,vs,Univ. of La Verne,L,0-9,17,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,12,4,4,0.118
3/18/2014,vs,UW-Eau Claire,L,1-12,19,1,3,1,1,0,0,1,0,0,0,0,0,0,0,4,15,4,5,0.158
3/20/2014,vs,Marian University,L,0-8,21,0,5,0,1,0,0,0,0,0,0,0,2,0,0,3,16,5,4,0.238
3/20/2014,vs,Augsburg College,L,1-5,27,1,6,0,0,0,0,1,0,2,0,0,0,0,0,3,21,10,3,0.222
3/21/2014,vs,UW-La Crosse,L,0-15,16,0,5,0,0,0,0,2,0,0,1,1,0,0,2,5,15,8,4,0.313
3/21/2014,vs,Pomona-Pitzer,L,0-15,17,0,3,0,0,0,0,0,0,0,0,0,2,0,0,4,12,4,3,0.176
4/5/2014,,Illinois College,L,0-14,16,0,2,0,0,0,0,1,0,0,1,0,0,0,0,6,15,5,6,0.125
4/5/2014,,Illinois College,L,1-13,17,1,4,1,2,0,0,0,0,0,0,0,1,0,0,2,15,3,7,0.235
4/11/2014,vs,Lawrence University,L,0-8,20,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,17,10,6,0.1
4/11/2014,vs,Carroll University,L,2-12,17,2,2,2,1,0,0,3,0,0,0,0,0,0,0,3,12,5,1,0.118
4/12/2014,vs,Beloit College,L,0-8,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,15,3,4,0.059
4/13/2014,vs,St. Norbert College,L,0-23,15,0,1,0,0,0,0,2,0,0,0,0,2,0,0,4,15,8,4,0.067
4/16/2014,at,Cornell College,L,0-8,14,0,1,0,0,0,0,2,0,0,0,0,0,0,2,5,14,2,1,0.071
4/16/2014,at,Cornell College,L,2-10,19,2,3,2,0,0,0,3,0,0,0,0,1,0,0,5,13,4,3,0.158
4/19/2014,,Knox College,L,6-14,29,6,7,2,0,1,0,6,0,1,0,0,0,0,0,8,21,7,3,0.241
4/19/2014,,Knox College,L,1-22,19,1,5,1,0,0,0,0,0,1,1,0,1,0,0,6,15,6,5,0.263
4/21/2014,,Greenville College,L,2-18,20,2,7,1,0,1,0,1,0,0,0,0,1,0,1,3,15,7,5,0.35
4/21/2014,,Greenville College,L,5-25,25,5,12,5,1,0,0,0,0,1,1,1,0,0,0,4,15,6,5,0.48
4/26/2014,at,Monmouth College,L,0-18,18,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,12,5,6,0.111
4/26/2014,at,Monmouth College,L,4-16,23,4,8,2,1,0,0,1,0,1,0,0,1,0,0,1,12,2,3,0.348
4/27/2014,at,Lake Forest College,L,0-11,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,2,0.063
4/27/2014,at,Lake Forest College,L,0-21,16,0,1,0,0,0,0,0,0,1,0,1,0,0,0,11,12,3,2,0.063
Total,,,,25-305,418,25,83,17,8,2,0,24,0,8,4,3,12,0,5,111,321,113,86,
