#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
11.0,"Gibson, Megan 11 Gibson, Megan",31,21,8,2,0.935,2,16,1,0,0,View Bio
22.0,"Juveland, Sage 22 Juveland, Sage",30,26,2,2,0.933,0,0,0,0,0,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",42,35,4,3,0.929,1,21,1,2,0,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",41,20,18,3,0.927,1,25,2,1,0,View Bio
17.0,"Neckopulos, Alex 17 Neckopulos, Alex",11,10,0,1,0.909,0,0,0,0,0,View Bio
14.0,"Villarreal, Teresa 14 Villarreal, Teresa",54,33,11,10,0.815,0,0,0,0,0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",50,23,15,12,0.76,0,0,0,0,0,View Bio
10.0,"Flannery, Laura 10 Flannery, Laura",25,11,7,7,0.72,0,0,0,0,0,View Bio
3.0,"Semlow, Andie 3 Semlow, Andie",31,20,0,11,0.645,0,0,0,0,0,View Bio
9.0,9  9 9,3,1,0,2,0.333,0,0,0,0,0,
,Totals,318,200,65,53,0.833,4,62,4,3,0,
,Opponents,322,219,90,13,0.96,8,10,4,1,0,
