Statistic,High,Opponent
INNINGS PITCHED,7.0,Augsburg College (3/20/2014); Knox College (4/19/2014)
RUNS ALLOWED,25.0,Greenville College (4/21/2014)
EARNED RUNS,21.0,Lake Forest College (4/27/2014)
WALKS ALLOWED,12.0,Knox College (4/19/2014); Knox College (4/19/2014); Cornell College (4/16/2014)
STRIKEOUTS,5.0,UW-Eau Claire (3/18/2014); Illinois College (4/5/2014); Beloit College (4/12/2014)
HITS ALLOWED,23.0,Greenville College (4/21/2014)
DOUBLES ALLOWED,8.0,Monmouth College (4/26/2014)
TRIPLES ALLOWED,2.0,UW-La Crosse (3/21/2014); Illinois College (4/5/2014); Illinois College (4/5/2014); Greenville College (4/21/2014)
HOME RUNS ALLOWED,4.0,Lake Forest College (4/27/2014)
WILD PITCHES,5.0,St. Norbert College (4/13/2014)
HIT BATTERS,3.0,Lake Forest College (4/27/2014)
