Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 5, 2009 (Saturday)",2:00 p.m.,Home,University of St. Thomas,Macalester Stadium/ Macalester Stadium,,,"L,14-54",Recap
"September 12, 2009 (Saturday)",1:00 p.m.,Away,Crown College,"St. Bonifacius, MN",,http://athletics.macalester.edu/sports/2008/1/29/GEN_0129082203.aspx?id=34,"L,17-27",Recap
"September 19, 2009 (Saturday)",1:00 p.m.,Away,Maranatha Baptist  University,"Watertown, WI",,,"W,52-12",Recap
"September 26, 2009 (Saturday)",1:00 p.m.,Home,Carleton College,Macalester Stadium/ Macalester Stadium,,,"L,0-38",Recap
"October 3, 2009 (Saturday)",12:00 p.m.,Away,University of Northwestern (MN),"St. Paul, Minn.",,,"L,7-31",Recap
"October 10, 2009 (Saturday)",1:00 p.m.,Away,College of St. Scholastica,"Duluth, MN",,,"W,35-13",Recap
"October 17, 2009 (Saturday)",1:00 p.m.,Home,University of Chicago,Macalester Stadium/ Macalester Stadium,,,"L,24-28",Recap
"October 24, 2009 (Saturday)",1:00 p.m.,Home,Martin Luther College,Macalester Stadium/ Macalester Stadium,,,"L,20-34",Recap
"October 30, 2009 (Friday)",11:30 a.m.,Neutral,University of Minnesota Morris,"Minneapolis, MN/ Metrodome",,,"L,0-3",Recap
"November 7, 2009 (Saturday)",1:00 p.m.,Home,Hamline University,Macalester Stadium/ Macalester Stadium,,,"L,6-38",Recap
