#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
12.0,"Fisher, Graham 12 Fisher, Graham",55,2188,39.78,69,5,13,17,12,0,View Bio
,Team  Team,1,-27,-27.0,0,0,0,0,0,0,
,Total,56,2161,38.59,69,5,13,17,12,0,
,Opponents,52,1691,32.52,53,6,14,13,4,2,
