Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,20.60,27.20
Total TOT,206,272
First Downs,First Downs,First Downs
Rushing RUSH,59,75
Passing PASS,87,100
Penalty PEN,28,7
Total TOT,174,182
Rushing,Rushing,Rushing
Yards Gained YDS,1401,2135
Yards Lost YDL,303,335
Attempts ATT,371,404
Average Per Attempt AVG/ATT,3.0,4.5
Avg. Per Game AVG/G,109.8,180.0
Touchdowns TDS,11,21
Total TOT,1098,1800
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,328-179-16,275-173-8
Avg. Per Attempt AVG/ATT,5.78,7.69
Avg. Per Game AVG/G,189.50,211.50
Touchdowns TDS,13,15
Total TOT,1895,2115
Total Offense,Total Offense,Total Offense
Total Plays TOT,699,679
Avg. Per Play AVG/P,4.3,5.8
Avg. Per Game AVG/G,299.3,391.5
Total Yards TOT YDS,2993,3915
Touchdowns TDS,26,37
Returns,Returns,Returns
Kickoff: Average KO: AVG,17.00,22.45
Kickoff: Total KO: TOT,37-629,31-696
Punt: Average P: AVG,5.86,8.64
Punt: Total P: TOT,7-41,14-121
INT: Average INT: AVG,7.88,5.81
INT: Total INT: TOT,8-63,16-93
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,38.59,32.52
Punt: Net Average P: Net AVG,34.64,29.42
Punt: Total Yards P: YDS,56-2161,52-1691
FG: Good-Attempts FG: FGM-FGA,8-14,4-7
Onside Kicks Onside K,0-1,0-2
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,49.30,67.90
Total-Yards TOT/YDS,50-493,68-679
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,30:13,29:42
Total TOT,05:02:10,04:57:04
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,49-154 (31.82 %),52-138 (37.68 %)
4th Down Conversions 4th %,10-19 (52.63 %),9-20 (45.00 %)
Fumbles-Lost FUM-Lost,8-3,20-11
Sacks-Yards Lost SCK YDS,19-147,41-193
PAT: Good-Attempts PAT,22-25,32-32
Misc. Yards MISC YDS,0,41
Red Zone: Attempts-Scores RZ: ATT-Score,27-31,22-29
Red Zone: Touchdowns RZ: TDS,19-31,20-29
