Date,Opponent,Result,Score,Record,Duration,Attendance
9/13/2014,at Beloit College,L,23-27,0-1,2:50,800
9/20/2014,at Luther College,L,21-49,0-2,2:52,3564
9/27/2014,vs Macalester College,L,16-21,0-3,2:49,741
10/4/2014,at Lawrence University,W,29-7,1-3,2:52,819
10/11/2014,vs Cornell College,L,17-35,"1-4 , 0-1",2:42,721
10/18/2014,vs Illinois College,L,10-35,"1-5 , 0-2",2:35,428
10/25/2014,at Knox College,W,21-18,"2-5 , 1-2",2:25 pm,800
11/1/2014,vs Monmouth College,L,3-38,"2-6 , 1-3",2:29,411
11/8/2014,at Lake Forest College,L,14-28,"2-7 , 1-4",2:35,934
11/15/2014,vs Lawrence University,W,52-14,3-7,2:51,521
,,,,,,9739
