Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/13/2014,Beloit College,6,212,35.3,45,0,1,0,0,2,2-3,44.0,0,6,306,51.0,0,0
9/20/2014,Luther College,4,184,46.0,52,0,1,2,2,0,0-0,,0,8,448,56.0,2,3
9/27/2014,Macalester College,7,224,32.0,40,0,1,3,0,2,0-0,,0,4,249,62.25,1,0
10/4/2014,Lawrence University,7,235,33.6,38,0,1,2,0,0,0-0,,0,3,135,45.0,0,0
10/11/2014,Cornell College,3,100,33.3,44,0,0,2,0,1,0-1,0.0,0,6,367,61.17,2,0
10/18/2014,Illinois College,4,122,30.5,53,0,0,0,1,2,0-0,,0,5,265,53.0,0,0
10/25/2014,Knox College,3,122,37.5,52,0,1,1,1,1,1-2,20.0,0,3,181,60.33,1,0
11/1/2014,Monmouth College,4,116,29.0,44,0,0,1,0,2,1-1,42.0,0,7,371,53.0,1,0
11/8/2014,Lake Forest College,8,211,18.4,49,2,1,1,0,2,0-0,,0,5,304,60.8,2,0
11/15/2014,Lawrence University,6,165,27.5,33,0,0,2,0,1,0-0,,0,3,161,53.67,0,0
