Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/13/2014,Beloit College,L,23-27,4,4,23,3,1,2,1,0,0,0,0,0,0
9/20/2014,Luther College,L,21-49,3,3,21,3,2,1,0,0,0,0,0,0,0
9/27/2014,Macalester College,L,16-21,2,2,10,1,1,0,1,0,0,0,0,0,0
10/4/2014,Lawrence University,W,29-7,5,5,27,3,1,2,2,0,0,0,0,0,0
10/11/2014,Cornell College,L,17-35,3,3,17,2,2,0,1,0,0,0,0,0,0
10/18/2014,Illinois College,L,10-35,2,2,10,1,0,1,1,0,0,0,0,0,0
10/25/2014,Knox College,W,21-18,4,2,13,2,2,0,0,0,0,0,1,1,0
11/1/2014,Monmouth College,L,3-38,1,1,3,0,0,0,1,0,0,0,0,0,0
11/8/2014,Lake Forest College,L,14-28,3,1,7,1,1,0,0,2,0,0,0,0,0
11/15/2014,Lawrence University,W,52-14,4,4,24,3,1,2,1,0,0,0,0,0,0
,TOTALS,,,31,27,155,19,11,8,8,2,0,0,1,1,0
