#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
7.0,"Poulos, Sam 7 Poulos, Sam",10,109.89,157,280,11,56.07 %,1663,10,63,166.3,View Bio
8.0,"Hoegh, Harrison 8 Hoegh, Harrison",9,86.23,22,48,5,45.83 %,232,3,48,25.78,View Bio
,Total,10,106.43,179,328,16,54.57 %,1895,13,63,189.5,
,Opponents,10,139.69,173,275,8,62.91 %,2115,15,86,211.5,
