#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
52,"Ternes, David 52 Ternes, David",10,73,67,140.0,15.0-57,5.5-43,2,5,1,1,4,0,1,View Bio
42,"Munger, Daniel 42 Munger, Daniel",10,36,59,95.0,9.0-28,0-0,0,1,0,0,2,0,0,View Bio
22,"Beecher, Jacob 22 Beecher, Jacob",10,41,28,69.0,4.0-8,0-0,1,3,0,1,4,0,0,View Bio
21,"Renteria, Rich 21 Renteria, Rich",10,29,26,55.0,8.5-46,3.0-17,0,1,3,5,3,0,0,
34,"Morrissette, Ba 34 Morrissette, Ba",10,18,26,44.0,2.0-9,1.0-7,0,2,0,0,0,2,0,
20,"Jones, Thomas 20 Jones, Thomas",10,16,22,38.0,0-0,0-0,2,1,0,2,0,0,0,
3,"Beecher, Scott 3 Beecher, Scott",8,21,12,33.0,2.0-4,0-0,0,5,0,0,0,0,0,View Bio
5,"Jones, TJ 5 Jones, TJ",10,8,25,33.0,2.0-7,1.5-7,1,1,0,0,0,0,0,View Bio
27,"Ryerson, Daniel 27 Ryerson, Daniel",10,15,16,31.0,5.5-52,4.5-47,0,0,1,2,1,0,0,View Bio
28,"Galaske, Joe 28 Galaske, Joe",9,20,7,27.0,0-0,0-0,0,4,0,0,0,0,0,View Bio
4,"Desjardin, Clay 4 Desjardin, Clay",8,7,14,21.0,3.0-10,1.0-8,0,1,0,0,0,0,0,
1,"George, Nate 1 George, Nate",9,12,6,18.0,0-0,0-0,2,2,0,0,0,0,0,View Bio
63,"Guen-Murray, Edward 63 Guen-Murray, Edward",9,11,5,16.0,4.5-17,1.0-7,0,0,0,0,0,0,0,View Bio
10,"Mcwilliams, Bro 10 Mcwilliams, Bro",3,2,13,15.0,0-0,0-0,0,0,0,0,0,0,0,
57,"Chadri, Isaac 57 Chadri, Isaac",10,4,10,14.0,2.0-7,1.0-5,0,0,0,0,0,0,0,View Bio
89,"Austin, Devin 89 Austin, Devin",8,1,10,11.0,0.5-1,0-0,0,0,0,0,0,0,0,View Bio
51,"Drexler, Riley 51 Drexler, Riley",6,4,5,9.0,0-0,0-0,0,0,1,0,0,0,0,View Bio
66,"Medrano, Matt 66 Medrano, Matt",7,1,8,9.0,0.5-6,0.5-6,0,0,0,0,0,0,0,View Bio
9,"Hardman, Edward 9 Hardman, Edward",8,3,5,8.0,0.5-1,0-0,0,0,0,0,0,0,0,View Bio
35,"Ogasawara, Ibuki 35 Ogasawara, Ibuki",7,6,1,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
17,"Dunn, Carson 17 Dunn, Carson",10,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
16,"Hoover, Kent 16 Hoover, Kent",4,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
13,"Sandoval, Emmi 13 Sandoval, Emmi",9,3,1,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
2,"McGriff, Zach 2 McGriff, Zach",10,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
15,"Ruzich, Greg 15 Ruzich, Greg",10,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
TM,Team TM Team,5,3,0,3.0,1.0-3,0-0,0,0,0,0,1,0,0,
12,"Fisher, Graham 12 Fisher, Graham",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14,"Meixler, Jacob 14 Meixler, Jacob",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
7,"Poulos, Sam 7 Poulos, Sam",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
11,"Walton, Aamir 11 Walton, Aamir",4,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
24,"Braun, Jonathan 24 Braun, Jonathan",2,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
81,"Cummings, Henry 81 Cummings, Henry",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
8,"Hoegh, Harrison 8 Hoegh, Harrison",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
77,"Lahn, Ethan 77 Lahn, Ethan",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
44,"Rish, Blake 44 Rish, Blake",3,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,355,374,729.0,60.0-256,19.0-147,8,26,6,11,15,2,1,
,Opponents,10,341,345,686.0,79.0-277,40.0-186,16,31,4,3,7,1,1,
