Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/13/2014,Beloit College,7,289,41.3,57,0,1,1,2,1,1-1,35.0,0,5,262,52.4,0,0
9/20/2014,Luther College,7,282,40.3,57,0,0,1,2,4,0-0,,0,4,236,59.0,1,0
9/27/2014,Macalester College,5,216,43.2,69,0,2,0,2,0,1-1,29.0,0,5,295,59.0,1,0
10/4/2014,Lawrence University,6,236,39.3,61,0,1,2,1,2,2-3,36.0,0,6,325,54.17,2,0
10/11/2014,Cornell College,5,183,36.6,52,0,0,3,1,1,1-1,24.0,0,4,254,63.5,2,0
10/18/2014,Illinois College,6,201,33.5,37,0,0,4,0,2,1-2,42.0,0,3,188,62.67,1,0
10/25/2014,Knox College,4,171,42.8,56,0,0,0,1,2,0-0,,0,4,237,59.25,1,0
11/1/2014,Monmouth College,8,271,33.9,46,0,0,1,0,2,1-2,28.0,0,1,65,65.0,1,0
11/8/2014,Lake Forest College,7,275,11.65,64,0,1,1,3,3,0-2,0.0,0,2,122,61.0,1,0
11/15/2014,Lawrence University,1,37,37.0,37,0,0,0,0,0,1-2,39.0,0,9,530,58.89,1,0
