#,Player,NO,YDS,AVG,TD,Long,Bio Link
22.0,"Beecher, Jacob 22 Beecher, Jacob",5,31,6.2,0,15,View Bio
,"Morrissette, Ba  Morrissette, Ba",1,6,6.0,0,0,
3.0,"Beecher, Scott 3 Beecher, Scott",1,4,4.0,0,4,View Bio
,Total,7,41,5.86,0,15,
,Opponents,14,121,8.64,1,45,
