Stat,Value,Player/Opponent
Rushes,29.0,Zandy Stowell vs Macalester College (9/27/2014)
Yards Rushing,219.0,Josh Vos vs Luther College (9/20/2014)
TD Rushes,3.0,Josh Vos vs Luther College (9/20/2014)
Long Rush,89.0,Josh Vos vs Luther College (9/20/2014)
Pass Attempts,42.0,Chance Byrd vs Lawrence University (11/15/2014)
,42.0,Matt Mc Caffrey vs Knox College (10/25/2014)
Pass Completions,32.0,Matt Mc Caffrey vs Knox College (10/25/2014)
Yards Passing,324.0,Bates vs Illinois College (10/18/2014)
TD Passes,4.0,Bates vs Illinois College (10/18/2014)
Longest Pass,86.0,Peter Rantis vs Lake Forest College (11/8/2014)
Receptions,16.0,Ilir Emini vs Knox College (10/25/2014)
Yards Receiving,160.0,Ilir Emini vs Knox College (10/25/2014)
TD Receptions,2.0,Obertino vs Illinois College (10/18/2014)
Longest Reception,86.0,Alex Pasiewicz vs Lake Forest College (11/8/2014)
Field Goals,2.0,Kam Sallee vs Beloit College (9/13/2014)
Longest Field Goal,44.0,Kam Sallee vs Beloit College (9/13/2014)
Punts,7.0,Matt Glasenapp vs Macalester College (9/27/2014)
,7.0,Dan Rothbauer vs Lawrence University (10/4/2014)
Longest Punt,53.0,Davis vs Illinois College (10/18/2014)
Longest Punt Return,45.0,Joey Kropp vs Lake Forest College (11/8/2014)
Longest Kickoff Return,69.0,Cross vs Illinois College (10/18/2014)
Tackles,18.0,Caleb Freund vs Luther College (9/20/2014)
Tackles For Loss,3.5,Dambacher vs Illinois College (10/18/2014)
,3.5,Tyler Parksey vs Monmouth College (11/1/2014)
Interceptions,1.0,Bolton Howes vs Macalester College (9/27/2014)
,1.0,Cash McGregor vs Macalester College (9/27/2014)
,1.0,Phil Wettersten vs Macalester College (9/27/2014)
,1.0,Maliek Ketchens vs Cornell College (10/11/2014)
,1.0,Ellis vs Illinois College (10/18/2014)
,1.0,Irace vs Illinois College (10/18/2014)
,1.0,Jacob Lueck vs Lawrence University (11/15/2014)
,1.0,Nick Ulloa vs Lawrence University (11/15/2014)
,1.0,Juan Guerrero vs Beloit College (9/13/2014)
,1.0,Luke Pulliam vs Luther College (9/20/2014)
,1.0,Brandon Taylor vs Lawrence University (10/4/2014)
,1.0,Tony Harth vs Lawrence University (10/4/2014)
,1.0,Cody Hipp vs Knox College (10/25/2014)
,1.0,Trent Wooten vs Knox College (10/25/2014)
,1.0,Joey Kropp vs Lake Forest College (11/8/2014)
,1.0,Pat Clark vs Lake Forest College (11/8/2014)
