#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",10,168,600,41,559,3.3,8,36,55.9,View Bio
7.0,"Poulos, Sam 7 Poulos, Sam",10,151,581,233,348,2.3,3,33,34.8,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,22,123,4,119,5.4,0,41,11.9,View Bio
8.0,"Hoegh, Harrison 8 Hoegh, Harrison",9,19,78,18,60,3.2,0,12,6.67,View Bio
52.0,"Ternes, David 52 Ternes, David",10,1,7,0,7,7.0,0,7,0.7,View Bio
27.0,"Ryerson, Daniel 27 Ryerson, Daniel",10,1,4,0,4,4.0,0,4,0.4,View Bio
,"Renteria, Rich  Renteria, Rich",10,1,3,0,3,3.0,0,3,0.3,
44.0,"Rish, Blake 44 Rish, Blake",3,5,5,4,1,0.2,0,4,0.33,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",10,1,0,0,0,0.0,0,0,0.0,View Bio
,Team  Team,5,2,0,3,-3,-1.5,0,0,-0.6,
,Total,10,371,1401,303,1098,3.0,11,41,109.8,
,Opponents,10,404,2135,335,1800,4.5,21,89,180.0,
