Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Beloit College,23-27,18/19,1/8,12/10,5/1,33-50 / 42-181,18-36-1 / 22-25-0,267/226,69-317 / 67-407,107/137,1/1
Luther College,21-49,20/20,7/20,10/0,3/0,41-159 / 57-579,16-35-1 / 0-0-0,140/0,76-299 / 57-579,40/58,1/2
Macalester College,21-16,12/20,7/13,4/7,1/0,36-117 / 51-271,8-23-3 / 13-26-0,132/141,59-249 / 77-412,116/103,3/1
Lawrence University,7-29,24/10,9/3,11/7,4/0,45-125 / 36-39,21-41-2 / 9-28-4,240/142,86-365 / 64-181,48/90,2/5
Cornell College,35-17,20/20,8/8,8/10,4/2,50-146 / 36-194,17-26-1 / 16-27-0,153/223,76-299 / 63-417,63/46,1/0
Illinois College,35-10,13/21,6/5,4/15,3/1,35-64 / 36-57,18-33-2 / 27-36-0,125/350,68-189 / 72-407,84/98,2/1
Knox College,18-21,17/22,7/5,8/16,2/1,30-118 / 35-99,19-29-2 / 32-42-1,155/301,59-273 / 77-400,124/53,4/2
Monmouth College,38-3,13/24,3/8,8/15,2/1,26-74 / 44-189,18-32-0 / 19-26-1,120/277,58-194 / 70-466,102/10,1/1
Lake Forest College,14-28,15/12,1/3,11/8,3/1,23-32 / 39-129,26-46-2 / 14-23-0,240/211,69-272 / 62-340,51/108,2/2
Lawrence University,52-14,22/14,10/2,11/12,1/0,52-213 / 28-62,18-27-2 / 21-42-2,323/244,79-536 / 70-306,113/207,2/4
