Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/13/2014,Beloit College,42,181,2,34,22,226,1,47,226,1,47,5,119,0,36,2,18,0,14
9/20/2014,Luther College,57,579,7,89,0,0,0,0,0,0,0,3,58,0,26,1,0,0,0
9/27/2014,Macalester College,51,271,2,33,13,141,1,32,141,1,32,3,67,0,23,2,10,0,9
10/4/2014,Lawrence University,36,39,0,29,9,142,1,31,142,1,31,4,88,0,44,1,0,0,0
10/11/2014,Cornell College,36,194,3,50,16,223,2,50,223,2,50,2,46,0,32,0,0,0,0
10/18/2014,Illinois College,36,57,1,12,27,350,4,37,350,4,37,2,84,0,69,1,7,0,7
10/25/2014,Knox College,35,99,1,27,32,301,1,26,301,1,26,3,52,0,19,0,0,0,0
11/1/2014,Monmouth College,44,189,2,50,19,277,3,49,277,3,49,0,0,0,0,2,10,0,10
11/8/2014,Lake Forest College,39,129,2,37,14,211,1,86,211,1,86,1,5,0,0,4,69,1,45
11/15/2014,Lawrence University,28,62,1,18,21,244,1,31,244,1,31,8,177,0,32,1,7,0,7
