#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",9,0,0,0-0,0-0,0,0-0,0,54,View Bio
14.0,"Meixler, Jacob 14 Meixler, Jacob",8,0,0,0-0,0-0,0,1-1,0,48,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",0,8,0,21-24,0-0,0,0-0,0,45,View Bio
7.0,"Poulos, Sam 7 Poulos, Sam",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
2.0,"McGriff, Zach 2 McGriff, Zach",2,0,0,0-0,0-0,0,0-0,0,12,View Bio
52.0,"Ternes, David 52 Ternes, David",1,0,1,0-0,0-0,0,0-0,0,8,View Bio
,"Renteria, Rich  Renteria, Rich",1,0,0,0-0,0-0,0,0-0,0,6,
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
11.0,"Walton, Aamir 11 Walton, Aamir",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
5.0,"Jones, TJ 5 Jones, TJ",0,0,0,0-0,0-0,1,0-0,0,2,View Bio
42.0,"Munger, Daniel 42 Munger, Daniel",0,0,0,1-1,0-0,0,0-0,0,1,View Bio
,Total,26,8,1,22-25,0-0,1,1-1,0,206,
,Opponents,37,4,1,32-32,1-2,1,1-3,0,272,
