Unnamed: 0,Time,Athletes,Meet,Meet Date
,13:17.47 #,"Kaczmarczyk, Rabbani, Elliott-Rude, Karow",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,14:46.07 #,"Charron, Mullen, Klassen, Rabbani",Grinnell Invitational,"Jan 28, 2023"
