#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
3.0,"Litke, Sidney 3 Litke, Sidney",7,4,0.57,0,11,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",49,147,3.0,21,151,0.861,0.43,0,0,0.0,0.0,0,2,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",62,60,0.97,7,86,0.919,0.11,1,12,13.0,0.21,0,2,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",70,193,2.76,0,3,1.0,0.0,9,15,24.0,0.34,2,27,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",51,22,0.43,1,8,0.875,0.02,7,19,26.0,0.51,4,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",64,206,3.22,31,298,0.896,0.48,0,0,0.0,0.0,1,4,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",67,34,0.51,3,11,0.727,0.04,8,27,35.0,0.52,4,3,View Bio
14.0,"Garringer, Sarah 14Garringer, Sarah",32,36,1.13,5,43,0.884,0.16,0,8,8.0,0.25,1,0,
16.0,"Joy, Jennifer 16Joy, Jennifer",56,165,2.95,21,176,0.881,0.38,0,0,0.0,0.0,0,0,View Bio
18.0,"Hill, Nora 18Hill, Nora",3,1,0.33,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",2,0,0.0,0,1,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",71,134,1.89,11,189,0.942,0.15,6,29,35.0,0.49,2,0,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",4,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",44,53,1.2,11,93,0.882,0.25,0,0,0.0,0.0,0,1,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",67,26,0.39,5,13,0.615,0.07,19,42,61.0,0.91,2,3,View Bio
24.0,"Hood, Christine 24Hood, Christine",58,89,1.53,18,144,0.875,0.31,0,0,0.0,0.0,0,1,View Bio
,Total,73,1171,16.04,141,1336,0.894,1.93,50,152,126.0,1.73,16,43,
,Opponents,73,1418,19.42,95,1119,0.915,1.3,26,182,117.0,1.6,20,43,
