Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2015,at Loras College,W,3,40,17,106,0.217,40,6,6,4,50,1,6,0,4.0,2,50.0
9/09/2015,at Simpson College,W,3,40,19,108,0.194,38,8,5,4,52,1,6,0,4.0,0,52.0
9/11/2015,vs Carleton,W,3,43,17,107,0.243,40,8,6,1,59,0,10,1,5.0,0,56.0
9/11/2015,vs Luther,W,3,37,13,99,0.242,36,8,6,2,52,1,14,4,8.0,0,53.0
9/13/2015,Macalester,W,3,44,23,133,0.158,41,6,7,2,75,1,12,1,7.0,1,57.0
9/13/2015,vs St. Olaf,W,4,54,19,151,0.232,51,7,7,7,95,1,16,3,9.0,1,70.0
9/17/2015,at Central College,W,5,57,29,165,0.17,54,9,11,5,73,2,16,0,10.0,6,76.0
9/19/2015,Illinois Wesleyan,W,3,43,14,111,0.261,41,6,6,1,57,3,4,2,5.0,1,54.0
9/19/2015,vs Aurora University,W,3,36,10,102,0.255,31,6,8,3,65,1,12,4,7.0,2,49.0
9/25/2015,Lawrence University,W,4,59,27,139,0.23,54,10,7,6,71,0,4,0,2.0,5,71.0
9/26/2015,St. Norbert College,W,3,44,18,108,0.241,42,8,3,4,54,1,2,1,2.0,6,54.0
9/30/2015,Cornell College,W,3,43,15,106,0.264,39,6,8,2,52,1,16,0,9.0,0,58.0
10/03/2015,at Knox College,W,4,57,23,174,0.195,54,8,8,5,89,2,6,0,5.0,3,70.0
10/09/2015,at Carroll University,W,3,45,19,135,0.193,41,7,8,4,65,0,10,0,5.0,2,57.0
10/10/2015,at Ripon College,W,3,43,26,125,0.136,41,2,6,4,78,1,6,0,4.0,0,49.0
10/16/2015,Lake Forest College,W,3,41,14,107,0.252,40,6,4,2,55,1,14,2,8.0,1,55.0
10/17/2015,Beloit College,L,4,44,34,161,0.062,41,11,10,8,81,1,4,0,3.0,5,58.0
10/24/2015,vs Centenary,L,3,12,13,53,-0.019,9,1,6,12,24,0,0,0,0.0,1,13.0
10/24/2015,Hunter College,W,5,64,26,167,0.228,60,5,14,4,86,2,8,2,6.0,3,75.0
10/30/2015,at Monmouth College,W,3,30,12,100,0.18,30,6,4,3,50,2,6,0,5.0,3,41.0
10/31/2015,Illinois College,W,5,63,27,219,0.164,62,2,4,12,135,4,10,0,9.0,1,74.0
,Opponents,,73,939,415,2676,0.196,885,136,144,95,1418,26,182,20,117.0,43,1192.0
,Grinnell College,,73,652,411,2636,0.091,578,98,137,141,1171,50,152,16,126.0,43,876.0
